budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,total_minutes
100000000,dolma_sample,3407,no_role_depth,4.50,2000,65536000,89.517,21.083
100000000,dolma_sample,3407,no_role_depth,4.40,2450,80281600,81.290,21.083
100000000,dolma_sample,3407,no_role_depth,4.35,2900,95027200,77.390,21.083
100000000,dolma_sample,3407,role_depth_v2,5.00,1000,32768000,144.571,21.572
100000000,dolma_sample,3407,role_depth_v2,4.80,1250,40960000,119.562,21.572
100000000,dolma_sample,3407,role_depth_v2,4.60,1650,54067200,98.223,21.572
100000000,dolma_sample,3407,role_depth_v2,4.50,1950,63897600,89.451,21.572
100000000,dolma_sample,3407,role_depth_v2,4.40,2350,77004800,81.405,21.572
100000000,dolma_sample,3407,role_depth_v2,4.35,2700,88473600,77.446,21.572
100000000,dolma_sample,3407,role_depth_v3,5.00,1000,32768000,146.425,25.261
100000000,dolma_sample,3407,role_depth_v3,4.80,1300,42598400,118.190,25.261
100000000,dolma_sample,3407,role_depth_v3,4.60,1700,55705600,97.863,25.261
100000000,dolma_sample,3407,role_depth_v3,4.50,2000,65536000,89.160,25.261
100000000,dolma_sample,3407,role_depth_v3,4.40,2450,80281600,81.274,25.261
100000000,dolma_sample,3407,role_depth_v3,4.35,2900,95027200,77.264,25.261
100000000,dolma_sample,3407,role_depth_v4,5.00,1000,32768000,144.203,26.235
