method,mean_final_val_loss,std_final_val_loss,min_final_val_loss,max_final_val_loss,finite_seeds,diverged_seeds
rlb_matrixpolicy_original,3.9623238245646157,0.008082366852366622,3.9560675621032715,3.971449375152588,3,0
rlb_lion,3.996049404144287,0.010524298325788353,3.9879865646362305,4.007955074310303,3,0
rlb_muon,3.999136288960775,0.011036074435831785,3.9890103340148926,4.010899543762207,3,0
silu_lion,4.001499176025391,0.008463186139865936,3.995715379714966,4.0112128257751465,3,0
silu_muon,4.006566683451335,0.012834417049844914,3.9967164993286133,4.02108097076416,3,0
rlb_adamw,4.060117721557617,0.011033813201530738,4.050111293792725,4.071950912475586,3,0
silu_adamw,4.061198870340983,0.01008701007007199,4.053472995758057,4.072610378265381,3,0
rlb_soap,4.108142058054606,0.032040158799325834,4.088771343231201,4.145124912261963,3,0
silu_soap,4.113941669464111,0.01009540641690034,4.104785919189453,4.124768257141113,3,0
rlb_schedulefree,4.386401971181233,0.008098479720303751,4.380481243133545,4.395630836486816,3,0
silu_schedulefree,4.3978729248046875,0.010600471275224297,4.390438079833984,4.410011291503906,3,0
silu_came,4.406034151713054,0.018922277071148342,4.3935160636901855,4.427802085876465,3,0
rlb_came,4.480350176493327,0.006437731169274964,4.472956657409668,4.484714984893799,3,0
silu_ademamix,1361.4140625,0.0,1361.4140625,1361.4140625,1,2
rlb_ademamix,nan,nan,nan,nan,0,3
