target_loss,matrixpolicy_mean_tokens_all_hits,matrixpolicy_hit_seeds,matrixpolicy_mean_tokens_second_best_common,second_best_mean_tokens_common,second_best_common_seeds,saved_tokens_vs_second_best,saved_fraction_vs_second_best,matrixpolicy_mean_tokens_silu_adamw_common,silu_adamw_mean_tokens_common,silu_adamw_common_seeds,saved_tokens_vs_silu_adamw,saved_fraction_vs_silu_adamw
4.4,84104533.33333333,3,84104533.33333333,87381333.33333333,3,3276800.0,0.037500000000000006,84104533.33333333,102126933.33333333,3,18022400.0,0.17647058823529413
4.3,110865066.66666667,3,110865066.66666667,111411200.0,3,546133.3333333284,0.004901960784313681,110865066.66666667,132164266.66666667,3,21299200.0,0.16115702479338842
4.2,143633066.66666666,3,143633066.66666666,145817600.0,3,2184533.3333333433,0.014981273408239768,143633066.66666666,173124266.66666666,3,29491200.0,0.17034700315457416
4.1,186231466.66666666,3,186231466.66666666,194423466.66666666,3,8192000.0,0.042134831460674156,186231466.66666666,241390933.33333334,3,55159466.66666669,0.22850678733031682
4.05,212445866.66666666,3,212445866.66666666,228829866.66666666,3,16384000.0,0.07159904534606205,nan,nan,0,nan,nan
4.0,250129066.66666666,3,245760000.0,276070400.0,2,30310400.0,0.10979228486646884,nan,nan,0,nan,nan
