series,final_step,final_loss,final_ppl
Y 1250 same-LR,1250,4.126141548156738,61.93847466028944
RLB + Jacobian 1250,1250,4.236545562744141,69.16850041976146
RLB + AdamW 1250,1250,4.245049476623535,69.75921150876745
SiLU/SwiGLU + AdamW 1250,1250,4.2544050216674805,70.41490937718325
