model_scale,dataset,train_tokens,steps_required,activation,activation_display_name,optimizer,optimizer_display_name,method,method_display_name,runs_total,runs_reached_required_step,runs_stopped_early,runs_non_finite,endpoint_seed_count,validation_loss_mean,validation_loss_sample_std,matched_control_seed_count,matched_control_validation_loss_mean,lead_vs_matched_control_mean,lead_vs_matched_control_sample_std,exact_time_ratio_seed_count,exact_total_time_ratio_mean,exact_total_time_ratio_sample_std,total_seconds_mean,total_seconds_sample_std,mean_seconds_per_step,tokens_per_second_mean,status
12l_768d,fineweb_edu,100000000,3050,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.825844333333333,0.007242161440711874,0,,,,0,,,1659.7457725746208,512.0167490606974,0.5269268373275376,67809.36628392618,complete
12l_768d,fineweb_edu,300000000,9150,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.142109711964925,0.021695484175605698,3,4.155890146891276,0.013780434926350912,0.0035366278898751346,0,,,4260.675619646984,234.53516061161022,0.44010664181924164,74619.8965824656,complete
12l_768d,fineweb_edu,300000000,9150,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.155890146891276,0.02384673277290771,0,,,,0,,,4531.633506307709,714.0824957679555,0.47806428932022454,69904.06519260239,complete
18l_1024d,c4_en,100000000,3050,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.847396373748779,0.0069317206591103415,3,4.840884367624919,-0.006512006123860677,0.008104821620109741,3,1.2210608656752968,0.09890858042554891,2738.4252509796665,67.60513038209263,0.8687838613178752,37730.538249363744,complete
18l_1024d,c4_en,100000000,3050,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.840884367624919,0.009485284283567956,0,,,,0,,,2249.21107021,121.3549463225466,0.7140632371004257,45966.54729991828,complete
18l_1024d,dclm,100000000,3050,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.7359598477681475,0.015289599860047626,3,4.725159486134847,-0.010800361633300781,0.004194404573308838,3,1.2664867463111291,0.040362866025039565,2823.260208950333,11.069834060045704,0.8949473618182848,36614.812758714455,complete
18l_1024d,dclm,100000000,3050,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.725159486134847,0.011160111065986592,0,,,,0,,,2230.9339671313332,81.31774855656907,0.711576856248877,46089.08793675455,complete
18l_1024d,dolma_sample,100000000,3050,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.905025641123454,0.003076941261640239,3,4.885066191355388,-0.019959449768066406,0.005920613219493903,3,1.2675735218000825,0.028359170483482694,2736.249766667,66.38152872580038,0.8689342562000144,37723.149155921485,complete
18l_1024d,dolma_sample,100000000,3050,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.885066191355388,0.006643202027182741,0,,,,0,,,2158.868574368667,41.931821029716836,0.6884203249376806,47609.23348660864,complete
18l_1024d,fineweb,100000000,3050,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.878294944763184,0.005616871563384442,3,4.860365231831868,-0.017929712931315105,0.004590929973914003,3,1.286660103159902,0.009561719221916972,2762.008650290667,60.48563926458476,0.876510235768842,37394.7505217632,complete
18l_1024d,fineweb,100000000,3050,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.860365231831868,0.009062342320343872,0,,,,0,,,2146.496451599,31.156141570702694,0.6850615818530152,47838.49638435836,complete
18l_1024d,fineweb_edu,100000000,3050,rlb_fused_global_rational,GRAIN,schedule_free_adamw,Schedule-Free AdamW,rlb_schedulefree,GRAIN + Schedule-Free AdamW,3,3,0,0,3,4.65521764755249,0.004063143694883568,3,4.644316832224528,-0.01090081532796224,0.0007897353827744156,3,1.2464563785373297,0.09188200340416532,2759.198671427667,56.617695554708575,0.8755515320957515,37434.75222389231,complete
18l_1024d,fineweb_edu,100000000,3050,silu,SwiGLU,schedule_free_adamw,Schedule-Free AdamW,silu_schedulefree,SwiGLU + Schedule-Free AdamW,3,3,0,0,3,4.644316832224528,0.003355668664529137,0,,,,0,,,2219.7947727396663,126.12883970054166,0.7083009449283937,46359.21650271403,complete
