optimizer,activation,seeds,params,mean_val_loss,std_val_loss,mean_val_ppl,std_val_ppl,mean_seconds_per_step,mean_loss_gap_vs_external_baseline,std_loss_gap_vs_external_baseline,mean_ppl_gap_vs_external_baseline,mean_time_ratio_vs_external_baseline,mean_loss_gap_vs_classic_same_activation,std_loss_gap_vs_classic_same_activation,mean_ppl_gap_vs_classic_same_activation,mean_time_ratio_vs_classic_same_activation,mean_loss_gap_vs_silu,std_loss_gap_vs_silu,mean_ppl_gap_vs_silu,mean_time_ratio_vs_silu
adamw,rlb_fused_fixed_strong_ffn,3,123553824,3.6066292921702066,0.01708886989200906,36.84523557975312,0.6265573519110059,0.20526818802949076,-0.003499905268351237,0.005576662398985318,-0.12783230115363864,1.0860902044170628,0.0,0.0,0.0,1.0,-0.003499905268351237,0.005576662398985318,-0.12783230115363864,1.0860902044170628
adamw,rlb_fused_fixed_strong_h2880_ffn,3,120014880,3.610172748565674,0.011827170198661445,36.97415936248901,0.43585059696753375,0.2013264927867548,4.3551127115885414e-05,0.0056525740449116565,0.0010914815822502533,1.065240487026611,0.0,0.0,0.0,1.0,4.3551127115885414e-05,0.0056525740449116565,0.0010914815822502533,1.065240487026611
adamw,silu,3,123551232,3.610129197438558,0.013487529147102034,36.97306788090676,0.4976533962033983,0.1889971646684454,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
muon,rlb_fused_fixed_strong_ffn,3,123553824,3.6447653770446777,0.013511242989642526,38.2761148904722,0.5151305454274282,0.22294125459915706,0.03463617960611979,0.004262777995992019,1.3030470095654418,1.1796043377402208,0.03813608487447103,0.0036185400037446057,1.4308793107190805,1.0861103416236588,0.03463617960611979,0.004262777995992019,1.3030470095654418,1.1796043377402208
muon,rlb_fused_fixed_strong_h2880_ffn,3,120014880,3.645815134048462,0.013691039261044681,38.31638027614096,0.5229847352614523,0.2174363544257011,0.03568593660990397,0.0015007807066691396,1.3433123952342,1.1504729676799024,0.035642385482788086,0.004481498342524098,1.3422209136519498,1.0800310064690304,0.03568593660990397,0.0015007807066691396,1.3433123952342,1.1504729676799024
muon,silu,3,123551232,3.626512130101522,0.015515930677113711,37.58451878669456,0.581555187434598,0.20792908451312403,0.016382932662963867,0.0020903203131333458,0.6114509057877981,1.100172867321413,0.016382932662963867,0.0020903203131333458,0.6114509057877981,1.100172867321413,0.016382932662963867,0.0020903203131333458,0.6114509057877981,1.100172867321413
rational_empirical_onpolicy,rlb_fused_fixed_strong_ffn,3,123553824,3.6409858067830405,0.019417450157070422,38.13418077640141,0.7362795235743093,0.22613520958768352,0.030856609344482422,0.007873367541670891,1.161112895494649,1.1965024260690884,0.03435651461283366,0.002440138697486312,1.2889451966482877,1.1016666667323187,0.030856609344482422,0.007873367541670891,1.161112895494649,1.1965024260690884
rational_empirical_onpolicy,rlb_fused_fixed_strong_h2880_ffn,3,120014880,3.643103281656901,0.010481036430458713,38.21162663592739,0.3993880384783801,0.22072497938149546,0.0329740842183431,0.006442814040036526,1.2385587550206243,1.1678750193860101,0.03293053309122721,0.0014690534555369683,1.237467273438374,1.0963581181928443,0.0329740842183431,0.006442814040036526,1.2385587550206243,1.1678750193860101
rational_jacobian_onpolicy,rlb_fused_fixed_strong_ffn,3,123553824,3.605393568674723,0.017349374537112452,36.79984253617452,0.6352392093453386,0.2048852624348003,-0.004735628763834636,0.006857984753770175,-0.17322534473223547,1.0840681581875056,-0.0012357234954833984,0.0015920619622112778,-0.045393043578596824,0.9981467142933038,-0.004735628763834636,0.006857984753770175,-0.17322534473223547,1.0840681581875056
rational_jacobian_onpolicy,rlb_fused_fixed_strong_h2880_ffn,3,120014880,3.6092728773752847,0.01093788014994845,36.940653790808874,0.4027873788597045,0.20154697074038955,-0.0008563200632731119,0.005441300897363429,-0.032414090097889904,1.0664011918311442,-0.0008998711903889974,0.0009641023661128231,-0.03350557168014016,1.001112236314787,-0.0008563200632731119,0.005441300897363429,-0.032414090097889904,1.0664011918311442
rational_onpolicy_balance,rlb_fused_fixed_strong_ffn,3,123553824,3.6062262058258057,0.01826152228868726,36.8308929218678,0.669018527561818,0.209026806256691,-0.003902991612752279,0.006834984941486002,-0.14217495903896094,1.1059786271917238,-0.0004030863444010417,0.0012984483400021762,-0.014342657885322296,1.018316877257048,-0.003902991612752279,0.006834984941486002,-0.14217495903896094,1.1059786271917238
rational_onpolicy_balance,rlb_fused_fixed_strong_h2880_ffn,3,120014880,3.609923760096232,0.010403733272375208,36.9645657843971,0.3834960439907171,0.2054695475810705,-0.00020543734232584635,0.006343991621393053,-0.008502096509661309,1.0871554252097173,-0.00024898846944173175,0.0014952158890135054,-0.009593578091911562,1.0206014706824447,-0.00020543734232584635,0.006343991621393053,-0.008502096509661309,1.0871554252097173
rational_quotient_onpolicy,rlb_fused_fixed_strong_ffn,3,123553824,3.6066644191741943,0.017230426618358437,36.84658911259184,0.6317112373765582,0.20517598568704604,-0.003464778264363607,0.005967493872934371,-0.126478768314918,1.085606614906788,3.512700398763021e-05,0.0004466322887816827,0.0013535328387206391,0.9995677638452315,-0.003464778264363607,0.005967493872934371,-0.126478768314918,1.085606614906788
rational_quotient_onpolicy,rlb_fused_fixed_strong_h2880_ffn,3,120014880,3.6093976497650146,0.010920734096297678,36.94525876984532,0.402257260569341,0.20107724593176093,-0.0007315476735432943,0.005998183372808948,-0.027809111061446384,1.0639189265148743,-0.0007750988006591797,0.0009327374830183531,-0.028900592643696637,0.9987741133261401,-0.0007315476735432943,0.005998183372808948,-0.027809111061446384,1.0639189265148743
