optimizer,seed,activation,params,val_loss,val_ppl,mean_seconds_per_step,tokens_per_second,total_seconds,external_baseline_optimizer,external_baseline_activation,classic_optimizer,loss_gap_vs_external_baseline,ppl_gap_vs_external_baseline,time_ratio_vs_external_baseline,loss_gap_vs_classic_same_activation,ppl_gap_vs_classic_same_activation,time_ratio_vs_classic_same_activation,loss_gap_vs_silu,ppl_gap_vs_silu,time_ratio_vs_silu
adamw,1337,rlb_fused_fixed_strong_ffn,123553824,3.6175012588500977,37.24438737029662,0.20628727107372707,158846.4466539417,648.3639276309405,adamw,silu,adamw,-0.0044803619384765625,-0.16724270976730793,1.0901018969630247,0.0,0.0,1.0,-0.0044803619384765625,-0.16724270976730793,1.0901018969630247
adamw,1337,rlb_fused_fixed_strong_h2880_ffn,120014880,3.615912675857544,37.18526853996895,0.2022089674432584,162050.1821176402,635.6658338468987,adamw,silu,adamw,-0.0060689449310302734,-0.22636154009497744,1.0685505598357998,0.0,0.0,1.0,-0.0060689449310302734,-0.22636154009497744,1.0685505598357998
adamw,1337,silu,123551232,3.621981620788574,37.41163008006393,0.18923668663308835,173158.81282329778,601.3740777759813,adamw,silu,adamw,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
adamw,2024,rlb_fused_fixed_strong_ffn,123553824,3.6154544353485107,37.168232647150866,0.20487940086726616,159937.99211287807,642.5141047539655,adamw,silu,adamw,0.002501964569091797,0.09287736479126352,1.0828695457882602,0.0,0.0,1.0,0.002501964569091797,0.09287736479126352,1.0828695457882602
adamw,2024,rlb_fused_fixed_strong_h2880_ffn,120014880,3.618034601211548,37.26425667790819,0.2000576863274038,163792.75698697037,627.4987404209096,adamw,silu,adamw,0.005082130432128906,0.18890139554859076,1.057384856690189,0.0,0.0,1.0,0.005082130432128906,0.18890139554859076,1.057384856690189
adamw,2024,silu,123551232,3.612952470779419,37.0753552823596,0.18920044585622453,173191.9808735586,593.7405517608859,adamw,silu,adamw,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
adamw,31415,rlb_fused_fixed_strong_ffn,123553824,3.5869321823120117,36.12308672181188,0.20463789214747907,160126.747085455,641.6805685460567,adamw,silu,adamw,-0.008521318435668945,-0.3091315584848715,1.0852991704999033,0.0,0.0,1.0,-0.008521318435668945,-0.3091315584848715,1.0852991704999033
adamw,31415,rlb_fused_fixed_strong_h2880_ffn,120014880,3.5965709686279297,36.47295286958989,0.20171282458960219,162448.768771488,632.5973277320154,adamw,silu,adamw,0.0011174678802490234,0.040734589293137446,1.069786044553844,0.0,0.0,1.0,0.0011174678802490234,0.040734589293137446,1.069786044553844
adamw,31415,silu,123551232,3.5954535007476807,36.43221828029675,0.18855436151602337,173785.42578669215,591.625049736118,adamw,silu,adamw,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
muon,1337,rlb_fused_fixed_strong_ffn,123553824,3.652890920639038,38.58605418474715,0.22300665758928384,146937.31727215755,710.0759989840444,adamw,silu,adamw,0.030909299850463867,1.1744241046832187,1.1784536157181413,0.03538966178894043,1.3416668144505266,1.0810490459664923,0.030909299850463867,1.1744241046832187,1.1784536157181413
muon,1337,rlb_fused_fixed_strong_h2880_ffn,120014880,3.656653881072998,38.73152550971248,0.2185211409021992,149953.45468503464,694.0675783341285,adamw,silu,adamw,0.03467226028442383,1.3198954296485539,1.1547504069646422,0.0407412052154541,1.5462569697435313,1.0806698815843474,0.03467226028442383,1.3198954296485539,1.1547504069646422
muon,1337,silu,123551232,3.639733076095581,38.08167046048371,0.20851092751581865,157152.43508047826,662.661519050831,adamw,silu,adamw,0.017751455307006836,0.6700403804197776,1.1018525594886428,0.017751455307006836,0.6700403804197776,1.1018525594886428,0.017751455307006836,0.6700403804197776,1.1018525594886428
muon,2024,rlb_fused_fixed_strong_ffn,123553824,3.6522367000579834,38.56081864966109,0.22286632691792232,147029.83825846363,706.2460444639437,adamw,silu,adamw,0.03928422927856445,1.4854633673014845,1.1779376412637044,0.036782264709472656,1.392586002510221,1.0877927501472402,0.03928422927856445,1.4854633673014845,1.1779376412637044
muon,2024,rlb_fused_fixed_strong_h2880_ffn,120014880,3.650362491607666,38.48861532067686,0.21701342249194372,150995.2685125569,687.4838494840078,adamw,silu,adamw,0.03741002082824707,1.4132600383172544,1.1470027013406436,0.032327890396118164,1.2243586427686637,1.0847542350199484,0.03741002082824707,1.4132600383172544,1.1470027013406436
muon,2024,silu,123551232,3.630373001098633,37.7268861630274,0.20740637348486918,157989.35900294554,654.9093587659299,adamw,silu,adamw,0.017420530319213867,0.6515308806677993,1.0962256063734623,0.017420530319213867,0.6515308806677993,1.0962256063734623,0.017420530319213867,0.6515308806677993,1.0962256063734623
muon,31415,rlb_fused_fixed_strong_ffn,123553824,3.6291685104370117,37.681471837008374,0.22295077929026505,146974.14426768405,706.8941061899532,adamw,silu,adamw,0.033715009689331055,1.249253556711622,1.1824217562388164,0.042236328125,1.5583851151964936,1.089489228757244,0.033715009689331055,1.249253556711622,1.1824217562388164
muon,31415,rlb_fused_fixed_strong_h2880_ffn,120014880,3.6304290294647217,37.728999998033544,0.21677449988296044,151161.69114767603,687.1895840088837,adamw,silu,adamw,0.034975528717041016,1.296781717736792,1.1496657947344215,0.03385806083679199,1.2560471284436545,1.0746689028027951,0.034975528717041016,1.296781717736792,1.1496657947344215
muon,31415,silu,123551232,3.6094303131103516,36.94499973657257,0.20786995253868423,157637.02064588643,657.3604327929206,adamw,silu,adamw,0.013976812362670898,0.5127814562758175,1.102440436102134,0.013976812362670898,0.5127814562758175,1.102440436102134,0.013976812362670898,0.5127814562758175,1.102440436102134
rational_empirical_onpolicy,1337,rlb_fused_fixed_strong_ffn,123553824,3.6525802612304688,38.57406892573822,0.22650276256096258,144669.31718407004,715.1659520568792,adamw,silu,adamw,0.03059864044189453,1.1624388456742878,1.1969283894730707,0.035079002380371094,1.3296815554415957,1.0979967953524892,0.03059864044189453,1.1624388456742878,1.1969283894730707
rational_empirical_onpolicy,1337,rlb_fused_fixed_strong_h2880_ffn,120014880,3.6476027965545654,38.382544907691305,0.22204595070224664,147573.05817272197,697.2277197609656,adamw,silu,adamw,0.02562117576599121,0.9709148276273751,1.173376868158616,0.031690120697021484,1.1972763677223526,1.0981014022761115,0.02562117576599121,0.9709148276273751,1.173376868158616
rational_empirical_onpolicy,2024,rlb_fused_fixed_strong_ffn,123553824,3.651808261871338,38.54430126103593,0.225980521774501,145003.6478484556,712.7357419349719,adamw,silu,adamw,0.038855791091918945,1.4689459786763308,1.194397406157415,0.03635382652282715,1.3760686138850673,1.1029928866343448,0.038855791091918945,1.4689459786763308,1.194397406157415
rational_empirical_onpolicy,2024,rlb_fused_fixed_strong_h2880_ffn,120014880,3.650583267211914,38.497113606053475,0.2197858485732153,149090.5816399016,694.4539667631034,adamw,silu,adamw,0.03763079643249512,1.4217583236938722,1.1616560816153305,0.03254866600036621,1.2328569281452815,1.0986123683022377,0.03763079643249512,1.4217583236938722,1.1616560816153305
rational_empirical_onpolicy,31415,rlb_fused_fixed_strong_ffn,123553824,3.6185688972473145,37.28417214243008,0.225922344427587,145040.98779172706,710.6084332058672,adamw,silu,adamw,0.02311539649963379,0.8519538621333282,1.1981814825767798,0.031636714935302734,1.1610854206181997,1.104010318210122,0.02311539649963379,0.8519538621333282,1.1981814825767798
rational_empirical_onpolicy,31415,rlb_fused_fixed_strong_h2880_ffn,120014880,3.6311237812042236,37.75522139403738,0.22034313886902446,148713.50280381468,696.3485482379328,adamw,silu,adamw,0.03567028045654297,1.3230031137406257,1.1685921083840836,0.034552812576293945,1.2822685244474883,1.0923605840001838,0.03567028045654297,1.3230031137406257,1.1685921083840836
rational_jacobian_onpolicy,1337,rlb_fused_fixed_strong_ffn,123553824,3.6148619651794434,37.14621810019562,0.2049096273279731,159914.39947110135,642.8823977299035,adamw,silu,adamw,-0.007119655609130859,-0.2654119798683112,1.0828218934379943,-0.002639293670654297,-0.09816927010100329,0.993321721991942,-0.007119655609130859,-0.2654119798683112,1.0828218934379943
rational_jacobian_onpolicy,1337,rlb_fused_fixed_strong_h2880_ffn,120014880,3.6149535179138184,37.149619093717135,0.20222380929715192,162038.2887350817,634.5119621641934,adamw,silu,adamw,-0.007028102874755859,-0.26201098634679454,1.0686289899444517,-0.0009591579437255859,-0.035649446251817096,1.0000733985939456,-0.007028102874755859,-0.26201098634679454,1.0686289899444517
rational_jacobian_onpolicy,2024,rlb_fused_fixed_strong_ffn,123553824,3.6159486770629883,37.18660727855912,0.2048757264347171,159940.8605901461,642.8900846811011,adamw,silu,adamw,0.002996206283569336,0.11125199619952042,1.0828501249431748,0.0004942417144775391,0.018374631408256903,0.99998206538806,0.002996206283569336,0.11125199619952042,1.0828501249431748
rational_jacobian_onpolicy,2024,rlb_fused_fixed_strong_h2880_ffn,120014880,3.616201639175415,37.19601527117297,0.20146698300443586,162646.9980903944,632.2792994659394,adamw,silu,adamw,0.0032491683959960938,0.12065998881336526,1.0648335530748845,-0.0018329620361328125,-0.0682414067352255,1.00704445154247,0.0032491683959960938,0.12065998881336526,1.0648335530748845
rational_jacobian_onpolicy,31415,rlb_fused_fixed_strong_ffn,123553824,3.5853700637817383,36.066702229768836,0.2048704335417107,159944.9927133023,642.472381494008,adamw,silu,adamw,-0.010083436965942383,-0.3655160505279156,1.0865324561813479,-0.0015621185302734375,-0.05638449204304408,1.0011363554999093,-0.010083436965942383,-0.3655160505279156,1.0865324561813479
rational_jacobian_onpolicy,31415,rlb_fused_fixed_strong_h2880_ffn,120014880,3.596663475036621,36.47632700753651,0.20095011991958084,163065.3418525631,630.4806382190436,adamw,silu,adamw,0.0012099742889404297,0.04410872723975956,1.0657410324740968,9.250640869140625e-05,0.0033741379466221133,0.9962188588079458,0.0012099742889404297,0.04410872723975956,1.0657410324740968
rational_onpolicy_balance,1337,rlb_fused_fixed_strong_ffn,123553824,3.6172831058502197,37.23626328164255,0.20954593748579783,156376.21226715922,657.2239938380662,adamw,silu,adamw,-0.004698514938354492,-0.17536679842137914,1.1073219533381873,-0.0002181529998779297,-0.008124088654071215,1.0157967401241452,-0.004698514938354492,-0.17536679842137914,1.1073219533381873
rational_onpolicy_balance,1337,rlb_fused_fixed_strong_h2880_ffn,120014880,3.614518880844116,37.13347600058117,0.20592939726658563,159122.497491605,646.1687359078787,adamw,silu,adamw,-0.007462739944458008,-0.2781540794827606,1.088210753054786,-0.0013937950134277344,-0.051792539387783165,1.0183989358650536,-0.007462739944458008,-0.2781540794827606,1.088210753054786
rational_onpolicy_balance,2024,rlb_fused_fixed_strong_ffn,123553824,3.6162474155426025,37.1977180085982,0.20896701176375032,156809.43955424975,655.5081234900281,adamw,silu,adamw,0.0032949447631835938,0.1223627262385989,1.104474203631352,0.0007929801940917969,0.02948536144733538,1.0199513024695557,0.0032949447631835938,0.1223627262385989,1.104474203631352
rational_onpolicy_balance,2024,rlb_fused_fixed_strong_h2880_ffn,120014880,3.617238759994507,37.23461204429681,0.20570315009382634,159297.51190029757,646.3453699129168,adamw,silu,adamw,0.004286289215087891,0.1592567619372076,1.087223389791282,-0.0007958412170410156,-0.029644633611383142,1.028219179527966,0.004286289215087891,0.1592567619372076,1.087223389791282
rational_onpolicy_balance,31415,rlb_fused_fixed_strong_ffn,123553824,3.5851480960845947,36.05869747536265,0.2085674695205249,157109.83153475588,654.4280033011455,adamw,silu,adamw,-0.010305404663085938,-0.37352080493410256,1.1061397246056321,-0.0017840862274169922,-0.06438924644923105,1.0192025891774426,-0.010305404663085938,-0.37352080493410256,1.1061397246056321
rational_onpolicy_balance,31415,rlb_fused_fixed_strong_h2880_ffn,120014880,3.5980136394500732,36.52560930831332,0.20477609538279953,160018.67766227754,642.6277288699057,adamw,silu,adamw,0.002560138702392578,0.09339102801656907,1.0860321327830842,0.0014426708221435547,0.05265643872343162,1.0151862966543141,0.002560138702392578,0.09339102801656907,1.0860321327830842
rational_quotient_onpolicy,1337,rlb_fused_fixed_strong_ffn,123553824,3.617213249206543,37.23366217212008,0.2047770040021697,160017.9676408041,644.2398691782728,adamw,silu,adamw,-0.00476837158203125,-0.1779679079438523,1.0821210603798646,-0.0002880096435546875,-0.010725198176544382,0.9926788159846391,-0.00476837158203125,-0.1779679079438523,1.0821210603798646
rational_quotient_onpolicy,1337,rlb_fused_fixed_strong_h2880_ffn,120014880,3.6144752502441406,37.131855880087755,0.20164131027972296,162506.38301518292,632.574441101402,adamw,silu,adamw,-0.007506370544433594,-0.27977419997617403,1.065550839360689,-0.0014374256134033203,-0.05341265988119659,0.9971927201314911,-0.007506370544433594,-0.27977419997617403,1.065550839360689
rational_quotient_onpolicy,2024,rlb_fused_fixed_strong_ffn,123553824,3.615999221801758,37.18848691341217,0.2055784819668461,159394.11404586854,645.045468387194,adamw,silu,adamw,0.003046751022338867,0.11313163105256763,1.08656446889701,0.0005447864532470703,0.02025426626130411,1.0034121590390284,0.003046751022338867,0.11313163105256763,1.08656446889701
rational_quotient_onpolicy,2024,rlb_fused_fixed_strong_h2880_ffn,120014880,3.6168551445007324,37.220331009600166,0.20060360628178373,163347.01358245508,629.8770507900044,adamw,silu,adamw,0.0039026737213134766,0.1449757272405634,1.060270261911669,-0.0011794567108154297,-0.043925668308027355,1.0027288126959866,0.0039026737213134766,0.1449757272405634,1.060270261911669
rational_quotient_onpolicy,31415,rlb_fused_fixed_strong_ffn,123553824,3.5867807865142822,36.11761825224328,0.2051724710921223,159709.53522944698,643.6362025057897,adamw,silu,adamw,-0.008672714233398438,-0.3146000280534693,1.0881343154434895,-0.0001513957977294922,-0.005468469568597811,1.0026123165120269,-0.008672714233398438,-0.3146000280534693,1.0881343154434895
