target_loss,matrixpolicy_mean_tokens_all_hits,matrixpolicy_hit_seeds,matrixpolicy_mean_tokens_second_best_common,second_best_mean_tokens_common,second_best_common_seeds,saved_tokens_vs_second_best,saved_fraction_vs_second_best,matrixpolicy_mean_tokens_silu_adamw_common,silu_adamw_mean_tokens_common,silu_adamw_common_seeds,saved_tokens_vs_silu_adamw,saved_fraction_vs_silu_adamw
4.4,68266666.66666667,3,68266666.66666667,72635733.33333333,3,4369066.666666657,0.06015037593984949,68266666.66666667,86835200.0,3,18568533.33333333,0.21383647798742134
4.3,91750400.0,3,91750400.0,91750400.0,3,0.0,0.0,91750400.0,108134400.0,3,16384000.0,0.15151515151515152
4.2,117418666.66666667,3,117418666.66666667,118510933.33333333,3,1092266.6666666567,0.009216589861751069,117418666.66666667,139810133.33333334,3,22391466.66666667,0.16015625000000003
4.1,149640533.33333334,3,149640533.33333334,153463466.66666666,3,3822933.3333333135,0.024911032028469622,149640533.33333334,185139200.0,3,35498666.66666666,0.191740412979351
4.05,170393600.0,3,170393600.0,176947200.0,3,6553600.0,0.037037037037037035,170393600.0,216268800.0,3,45875200.0,0.21212121212121213
4.0,194969600.0,3,194969600.0,204800000.0,3,9830400.0,0.048,194969600.0,264874666.66666666,3,69905066.66666666,0.2639175257731958
