target_loss,matrixpolicy_mean_tokens_all_hits,matrixpolicy_hit_seeds,matrixpolicy_mean_tokens_second_best_common,second_best_mean_tokens_common,second_best_common_seeds,saved_tokens_vs_second_best,saved_fraction_vs_second_best,matrixpolicy_mean_tokens_silu_adamw_common,silu_adamw_mean_tokens_common,silu_adamw_common_seeds,saved_tokens_vs_silu_adamw,saved_fraction_vs_silu_adamw
4.2,93388800.0,3,93388800.0,94481066.66666667,3,1092266.6666666716,0.011560693641618549,93388800.0,110865066.66666667,3,17476266.66666667,0.1576354679802956
4.1,122333866.66666667,3,122333866.66666667,124518400.0,3,2184533.3333333284,0.017543859649122768,122333866.66666667,145271466.66666666,3,22937599.999999985,0.15789473684210517
4.0,157832533.33333334,3,157832533.33333334,162747733.33333334,3,4915200.0,0.030201342281879193,157832533.33333334,194969600.0,3,37137066.66666666,0.19047619047619044
3.95,180770133.33333334,3,180770133.33333334,189508266.66666666,3,8738133.333333313,0.04610951008645523,180770133.33333334,232652800.0,3,51882666.66666666,0.2230046948356807
3.9,206984533.33333334,3,206984533.33333334,222822400.0,3,15837866.666666657,0.07107843137254898,201523200.0,283443200.0,1,81920000.0,0.28901734104046245
3.85,242483200.0,3,242483200.0,280166400.0,3,37683200.0,0.13450292397660818,nan,nan,0,nan,nan
3.82,274705066.6666667,3,nan,nan,0,nan,nan,nan,nan,0,nan,nan
