method,mean_final_val_loss,std_final_val_loss,min_final_val_loss,max_final_val_loss,finite_seeds,diverged_seeds
rlb_matrixpolicy_original,3.8089540004730225,0.0064423112494083196,3.801525115966797,3.8130033016204834,3,0
rlb_lion,3.842503070831299,0.009332540756651773,3.8323922157287598,3.8507871627807617,3,0
silu_lion,3.847522576649984,0.00936335564969674,3.8368842601776123,3.8545126914978027,3,0
rlb_muon,3.8482057253519693,0.008936821343500882,3.838500499725342,3.856095314025879,3,0
silu_muon,3.858114322026571,0.01006635782807422,3.8468542098999023,3.8662421703338623,3,0
silu_adamw,3.9036900997161865,0.0090907065734535,3.8936352729797363,3.9113283157348633,3,0
rlb_adamw,3.90636936823527,0.007279142880702541,3.8986868858337402,3.913163661956787,3,0
rlb_soap,3.9205168883005777,0.01166283929106927,3.9093892574310303,3.932649850845337,3,0
silu_soap,3.9568339188893638,0.00931911926130607,3.9460983276367188,3.962839126586914,3,0
rlb_schedulefree,4.205441792805989,0.010522701074376997,4.193336486816406,4.212401866912842,3,0
silu_schedulefree,4.215104579925537,0.005319175159933975,4.210404872894287,4.220879077911377,3,0
silu_came,4.249165852864583,0.02698137153384855,4.22376823425293,4.277492046356201,3,0
rlb_came,4.285696347554524,0.038228737159025764,4.241558074951172,4.308309555053711,3,0
rlb_ademamix,nan,nan,nan,nan,0,3
silu_ademamix,nan,nan,nan,nan,0,3
