row,row_id,source_phase,source_row_index,source_row_id,seed,method,activation,optimizer,complete,final_val_loss,final_val_ppl,steps,global_tokens_per_step,total_tokens,slurm_job_id,slurm_restart_count,slurm_node,timing_attempt_id,timing_node_override_reason,timing_integrity_issues,jsonl
388,E2_m0_300m_dolma_sample_m0_300m_seed1337_rlb_schedulefree,E2_global_rational_optimizers_300m,174,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_schedulefree,1337,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,True,4.218571186065674,67.93634651149715,9150,32768,299827200,982202,0,barcheck-compute-01,982202:0:1782619055,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed1337_rlb_schedulefree/rlb_fused_global_rational.jsonl
389,E2_m0_300m_dolma_sample_m0_300m_seed1337_rlb_matrixpolicy_original,E2_rational_only_300m,24,E2_rational_only_300m_dolma_sample_m0_300m_seed1337_rlb_rational_only_matrixpolicy,1337,rlb_matrixpolicy_original,rlb_fused_global_rational,rational_matrix_policy_onpolicy,True,3.81136417388916,45.21207394702973,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_rational_only_300m/dolma_sample/E2_rational_only_300m_dolma_sample_m0_300m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
390,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_adamw,E2_m0_300m,390,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_adamw,2027,silu_adamw,silu,adamw,True,3.90610671043396,49.70505859079,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_adamw/silu.jsonl
391,E2_m0_300m_dolma_sample_m0_300m_seed2027_rlb_adamw,E2_global_rational_optimizers_300m,175,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_adamw,2027,rlb_adamw,rlb_fused_global_rational,adamw,True,3.9050559997558594,49.65286038238273,9150,32768,299827200,982203,0,damle-compute-01,982203:0:1782635360,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_adamw/rlb_fused_global_rational.jsonl
392,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_muon,E2_m0_300m,392,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_muon,2027,silu_muon,silu,muon,True,3.8612465858459473,47.5245578993872,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_muon/silu.jsonl
393,E2_m0_300m_dolma_sample_m0_300m_seed2027_rlb_muon,E2_global_rational_optimizers_300m,176,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_muon,2027,rlb_muon,rlb_fused_global_rational,muon,True,3.8475518226623535,46.87815659245583,9150,32768,299827200,982204,0,barcheck-compute-01,982204:0:1782622857,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_muon/rlb_fused_global_rational.jsonl
394,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_lion,E2_m0_300m,394,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_lion,2027,silu_lion,silu,lion,True,3.851170778274536,47.048113908844925,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_lion/silu.jsonl
395,E2_m0_300m_dolma_sample_m0_300m_seed2027_rlb_lion,E2_global_rational_optimizers_300m,177,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_lion,2027,rlb_lion,rlb_fused_global_rational,lion,True,3.8452248573303223,46.769199566012006,9150,32768,299827200,982205,0,damle-compute-01,982205:0:1782639719,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_lion/rlb_fused_global_rational.jsonl
396,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_soap,E2_m0_300m,396,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_soap,2027,silu_soap,silu,soap_adamw,True,3.961564302444458,52.53944928843459,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_soap/silu.jsonl
397,E2_m0_300m_dolma_sample_m0_300m_seed2027_rlb_soap,E2_global_rational_optimizers_300m,178,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_soap,2027,rlb_soap,rlb_fused_global_rational,soap_adamw,True,3.924314498901367,50.618367216699625,9150,32768,299827200,982206,0,barcheck-compute-01,982206:0:1782626905,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_soap/rlb_fused_global_rational.jsonl
398,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_ademamix,E2_m0_300m,398,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_ademamix,2027,silu_ademamix,silu,ademamix,True,nan,485165195.4097903,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_ademamix/silu.jsonl
399,E2_m0_300m_dolma_sample_m0_300m_seed2027_rlb_ademamix,E2_global_rational_optimizers_300m,179,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_ademamix,2027,rlb_ademamix,rlb_fused_global_rational,ademamix,False,nan,nan,9150,32768,299827200,982207,0,damle-compute-01,982207:0:1782644040,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_ademamix/rlb_fused_global_rational.jsonl
400,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_came,E2_m0_300m,400,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_came,2027,silu_came,silu,adafactor_came,True,4.277492046356201,72.0594913328678,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_came/silu.jsonl
401,E2_m0_300m_dolma_sample_m0_300m_seed2027_rlb_came,E2_global_rational_optimizers_300m,180,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_came,2027,rlb_came,rlb_fused_global_rational,adafactor_came,True,4.3121843338012695,74.60326953537573,9150,32768,299827200,982208,0,barcheck-compute-01,982208:0:1782630770,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_came/rlb_fused_global_rational.jsonl
402,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_schedulefree,E2_m0_300m,402,E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_schedulefree,2027,silu_schedulefree,silu,schedule_free_adamw,True,4.214029788970947,67.62852009487875,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed2027_silu_schedulefree/silu.jsonl
403,E2_m0_300m_dolma_sample_m0_300m_seed2027_rlb_schedulefree,E2_global_rational_optimizers_300m,181,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_schedulefree,2027,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,True,4.2186384201049805,67.94091430004256,9150,32768,299827200,982209,0,damle-compute-01,982209:0:1782644594,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed2027_rlb_schedulefree/rlb_fused_global_rational.jsonl
404,E2_m0_300m_dolma_sample_m0_300m_seed2027_rlb_matrixpolicy_original,E2_rational_only_300m,25,E2_rational_only_300m_dolma_sample_m0_300m_seed2027_rlb_rational_only_matrixpolicy,2027,rlb_matrixpolicy_original,rlb_fused_global_rational,rational_matrix_policy_onpolicy,True,3.8092620372772217,45.117131816710355,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_rational_only_300m/dolma_sample/E2_rational_only_300m_dolma_sample_m0_300m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
405,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_adamw,E2_m0_300m,405,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_adamw,3407,silu_adamw,silu,adamw,True,3.8936352729797363,49.08901452371266,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_adamw/silu.jsonl
406,E2_m0_300m_dolma_sample_m0_300m_seed3407_rlb_adamw,E2_global_rational_optimizers_300m,182,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_adamw,3407,rlb_adamw,rlb_fused_global_rational,adamw,True,3.896088123321533,49.20957032198772,9150,32768,299827200,982210,0,barcheck-compute-01,982210:0:1782634853,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_adamw/rlb_fused_global_rational.jsonl
407,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_muon,E2_m0_300m,407,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_muon,3407,silu_muon,silu,muon,True,3.8468542098999023,46.8454651964301,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_muon/silu.jsonl
408,E2_m0_300m_dolma_sample_m0_300m_seed3407_rlb_muon,E2_global_rational_optimizers_300m,183,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_muon,3407,rlb_muon,rlb_fused_global_rational,muon,True,3.843203544616699,46.67475986656023,9150,32768,299827200,982211,0,damle-compute-01,982211:0:1782649021,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_muon/rlb_fused_global_rational.jsonl
409,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_lion,E2_m0_300m,409,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_lion,3407,silu_lion,silu,lion,True,3.8368842601776123,46.38073876276714,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_lion/silu.jsonl
410,E2_m0_300m_dolma_sample_m0_300m_seed3407_rlb_lion,E2_global_rational_optimizers_300m,184,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_lion,3407,rlb_lion,rlb_fused_global_rational,lion,True,3.8314666748046875,46.130146566081464,9150,32768,299827200,982212,0,barcheck-compute-01,982212:0:1782638618,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_lion/rlb_fused_global_rational.jsonl
411,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_soap,E2_m0_300m,411,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_soap,3407,silu_soap,silu,soap_adamw,True,3.9460983276367188,51.7331268430275,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_soap/silu.jsonl
412,E2_m0_300m_dolma_sample_m0_300m_seed3407_rlb_soap,E2_global_rational_optimizers_300m,185,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_soap,3407,rlb_soap,rlb_fused_global_rational,soap_adamw,True,3.915837287902832,50.19107830538757,9150,32768,299827200,982213,0,damle-compute-01,982213:0:1782653696,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_soap/rlb_fused_global_rational.jsonl
413,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_ademamix,E2_m0_300m,413,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_ademamix,3407,silu_ademamix,silu,ademamix,True,nan,485165195.4097903,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_ademamix/silu.jsonl
414,E2_m0_300m_dolma_sample_m0_300m_seed3407_rlb_ademamix,E2_global_rational_optimizers_300m,186,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_ademamix,3407,rlb_ademamix,rlb_fused_global_rational,ademamix,False,nan,nan,9150,32768,299827200,982214,0,barcheck-compute-01,982214:0:1782642354,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_ademamix/rlb_fused_global_rational.jsonl
415,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_came,E2_m0_300m,415,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_came,3407,silu_came,silu,adafactor_came,True,4.22376823425293,68.29033402632345,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_came/silu.jsonl
416,E2_m0_300m_dolma_sample_m0_300m_seed3407_rlb_came,E2_global_rational_optimizers_300m,187,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_came,3407,rlb_came,rlb_fused_global_rational,adafactor_came,True,4.233149528503418,68.93400023466066,9150,32768,299827200,982215,0,damle-compute-01,982215:0:1782658186,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_came/rlb_fused_global_rational.jsonl
417,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_schedulefree,E2_m0_300m,417,E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_schedulefree,3407,silu_schedulefree,silu,schedule_free_adamw,True,4.210404872894287,67.38381616869519,9150,32768,299827200,,,,,,,experiments/runs/iclr26_main/E2_m0_300m/dolma_sample/E2_m0_300m_dolma_sample_m0_300m_seed3407_silu_schedulefree/silu.jsonl
418,E2_m0_300m_dolma_sample_m0_300m_seed3407_rlb_schedulefree,E2_global_rational_optimizers_300m,188,E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_schedulefree,3407,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,True,4.199156284332275,66.6300904674656,9150,32768,299827200,982216,0,barcheck-compute-01,982216:0:1782642629,,,experiments/runs/iclr26_main/E2_global_rational_optimizers_300m/dolma_sample/E2_global_rational_optimizers_300m_dolma_sample_m0_300m_seed3407_rlb_schedulefree/rlb_fused_global_rational.jsonl
419,E2_m0_300m_dolma_sample_m0_300m_seed3407_rlb_matrixpolicy_original,E2_rational_only_300m,26,E2_rational_only_300m_dolma_sample_m0_300m_seed3407_rlb_rational_only_matrixpolicy,3407,rlb_matrixpolicy_original,rlb_fused_global_rational,rational_matrix_policy_onpolicy,True,3.797839641571045,44.60471815105279,9150,32768,299827200,986794,0,lil-compute-04,986794:0:1782417897,,,experiments/runs/iclr26_main/E2_rational_only_300m/dolma_sample/E2_rational_only_300m_dolma_sample_m0_300m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
