update,loss_tokens,proposal_accepted,functional_refresh,ledger_measurement,coefficient_abs_deviation_mean,coefficient_abs_deviation_max,budget_residual,beta2,fixed_activation_congruence,response_departure_energy
2407,630980608,False,False,gradient_surrogate,0.0,0.0,6.882644996000722e-16,0.95,1.0,0.0
2408,631242752,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2409,631504896,False,True,functional,0.0,0.0,3.444980252451352e-16,0.95,1.0,0.0
2410,631767040,False,False,gradient_surrogate,0.0,0.0,1.7220744195904402e-16,0.95,1.0,0.0
2411,632029184,False,False,gradient_surrogate,0.0,0.0,3.4407402271996154e-16,0.95,1.0,0.0
2412,632291328,False,False,gradient_surrogate,0.0,0.0,6.889515052152054e-16,0.95,1.0,0.0
2413,632553472,False,False,gradient_surrogate,0.0,0.0,5.161911773906603e-16,0.95,1.0,0.0
2414,632815616,False,False,gradient_surrogate,0.0,0.0,6.879524991160387e-16,0.95,1.0,0.0
2415,633077760,False,False,gradient_surrogate,0.0,0.0,5.166291316872677e-16,0.95,1.0,0.0
2416,633339904,False,False,gradient_surrogate,0.0,0.0,1.0324897722375903e-15,0.95,1.0,0.0
2417,633602048,False,True,functional,0.0,0.0,5.167431748488296e-16,0.95,1.0,0.0
2418,633864192,False,False,gradient_surrogate,0.0,0.0,3.442654296441363e-16,0.95,1.0,0.0
2419,634126336,False,False,gradient_surrogate,0.0,0.0,8.559696543089628e-16,0.95,1.0,0.0
2420,634388480,False,False,gradient_surrogate,0.0,0.0,6.881516112516712e-16,0.95,1.0,0.0
2421,634650624,False,False,gradient_surrogate,0.0,0.0,1.7213802164212778e-16,0.95,1.0,0.0
2422,634912768,False,False,gradient_surrogate,0.0,0.0,6.878721066670392e-16,0.95,1.0,0.0
2423,635174912,False,False,gradient_surrogate,0.0,0.0,3.4442690534547904e-16,0.95,1.0,0.0
2424,635437056,False,False,gradient_surrogate,0.0,0.0,1.7219243931775808e-16,0.95,1.0,0.0
2425,635699200,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
2426,635961344,False,False,gradient_surrogate,0.0,0.0,3.443711917308651e-16,0.95,1.0,0.0
2427,636223488,False,False,gradient_surrogate,0.0,0.0,3.4449117969468503e-16,0.95,1.0,0.0
2428,636485632,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2429,636747776,False,False,gradient_surrogate,0.0,0.0,3.440768803003704e-16,0.95,1.0,0.0
2430,637009920,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2431,637272064,False,False,gradient_surrogate,0.0,0.0,5.16270252491357e-16,0.95,1.0,0.0
2432,637534208,False,False,gradient_surrogate,0.0,0.0,8.608280699509383e-16,0.95,1.0,0.0
2433,637796352,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
2434,638058496,False,False,gradient_surrogate,0.0,0.0,3.443924829553694e-16,0.95,1.0,0.0
2435,638320640,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2436,638582784,False,False,gradient_surrogate,0.0,0.0,3.432007175449112e-16,0.95,1.0,0.0
2437,638844928,False,False,gradient_surrogate,0.0,0.0,8.592288095853655e-16,0.95,1.0,0.0
2438,639107072,False,False,gradient_surrogate,0.0,0.0,5.160651781824724e-16,0.95,1.0,0.0
2439,639369216,False,False,gradient_surrogate,0.0,0.0,3.4409727186762376e-16,0.95,1.0,0.0
2440,639631360,False,False,gradient_surrogate,0.0,0.0,1.7208035722776594e-16,0.95,1.0,0.0
2441,639893504,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
2442,640155648,False,False,gradient_surrogate,0.0,0.0,1.0327641835132373e-15,0.95,1.0,0.0
2443,640417792,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2444,640679936,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2445,640942080,False,False,gradient_surrogate,0.0,0.0,3.409093496833964e-16,0.95,1.0,0.0
2446,641204224,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2447,641466368,False,False,gradient_surrogate,0.0,0.0,3.438144821438809e-16,0.95,1.0,0.0
2448,641728512,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2449,641990656,False,True,functional,0.0,0.0,3.432594393182172e-16,0.95,1.0,0.0
2450,642252800,False,False,gradient_surrogate,0.0,0.0,6.880072077771316e-16,0.95,1.0,0.0
2451,642514944,False,False,gradient_surrogate,0.0,0.0,3.4335873881884606e-16,0.95,1.0,0.0
2452,642777088,False,False,gradient_surrogate,0.0,0.0,1.7200424171326674e-16,0.95,1.0,0.0
2453,643039232,False,False,gradient_surrogate,0.0,0.0,3.4388458296759453e-16,0.95,1.0,0.0
