update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,lr,muon_step_seconds,tiller_step_seconds
1,262144,12.367103576660156,12.367103576660156,0.0,1.4999999999999998e-06,6.233908516354859,123.79531502071768
2,524288,12.368790626525879,12.367290496826172,-0.0015001296997070312,2.9999999999999997e-06,4.554864659905434,4.6872759917750955
3,786432,12.360145568847656,12.356687545776367,-0.0034580230712890625,4.5e-06,4.54996436368674,4.678701147437096
4,1048576,12.353658676147461,12.34827995300293,-0.00537872314453125,5.999999999999999e-06,4.550329754129052,4.676563622429967
5,1310720,12.338123321533203,12.329813957214355,-0.008309364318847656,7.499999999999999e-06,4.550745025277138,4.679085662588477
6,1572864,12.32273006439209,12.31077766418457,-0.011952400207519531,9e-06,4.551329125650227,4.674062952399254
7,1835008,12.313419342041016,12.296234130859375,-0.017185211181640625,1.05e-05,4.550633197650313,4.678759543225169
8,2097152,12.295480728149414,12.270665168762207,-0.02481555938720703,1.1999999999999999e-05,4.550955538637936,4.680458470247686
9,2359296,12.266332626342773,12.23333740234375,-0.03299522399902344,1.3499999999999998e-05,4.5510282926261425,4.732648687437177
10,2621440,12.243937492370605,12.20097541809082,-0.042962074279785156,1.4999999999999999e-05,4.551960875280201,4.678250997327268
11,2883584,12.216689109802246,12.16470718383789,-0.05198192596435547,1.6499999999999998e-05,4.55170973110944,4.678364483639598
12,3145728,12.176692008972168,12.107111930847168,-0.069580078125,1.8e-05,4.628953564912081,4.675655351020396
13,3407872,12.158681869506836,12.08993911743164,-0.06874275207519531,1.95e-05,4.549529943615198,4.686315946280956
14,3670016,12.118017196655273,12.028751373291016,-0.08926582336425781,2.1e-05,4.5493190959095955,4.681218825280666
15,3932160,12.06698226928711,11.958084106445312,-0.10889816284179688,2.2499999999999998e-05,4.550823357887566,4.681340259499848
16,4194304,12.05160140991211,11.936238288879395,-0.11536312103271484,2.3999999999999997e-05,4.549741384573281,4.681144920177758
17,4456448,11.99887752532959,11.866695404052734,-0.13218212127685547,2.5499999999999996e-05,4.551491416059434,4.735637696459889
18,4718592,11.946517944335938,11.785250663757324,-0.16126728057861328,2.6999999999999996e-05,4.55011872202158,4.676734786480665
19,4980736,11.886138916015625,11.702640533447266,-0.18349838256835938,2.8499999999999998e-05,4.5513783767819405,4.67741534858942
20,5242880,11.825629234313965,11.613407135009766,-0.21222209930419922,2.9999999999999997e-05,4.551373754628003,4.68212768714875
21,5505024,11.785697937011719,11.54587173461914,-0.23982620239257812,3.149999999999999e-05,4.549906191416085,4.678543941117823
22,5767168,11.706782341003418,11.436084747314453,-0.27069759368896484,3.2999999999999996e-05,4.550005748867989,4.6791750099509954
23,6029312,11.642817497253418,11.338789939880371,-0.3040275573730469,3.45e-05,4.550535527989268,4.67574312351644
