task,method,val_loss_gauge0,val_loss_gauge2,delta_val_loss_gauge2_minus_gauge0,val_ppl_gauge0,val_ppl_gauge2,delta_val_ppl_gauge2_minus_gauge0,val_auc_mean_200_gauge0,val_auc_mean_200_gauge2,delta_val_auc_mean_200_gauge2_minus_gauge0,val_auc_mean_400_gauge0,val_auc_mean_400_gauge2,delta_val_auc_mean_400_gauge2_minus_gauge0,val_auc_mean_750_gauge0,val_auc_mean_750_gauge2,delta_val_auc_mean_750_gauge2_minus_gauge0,train_auc_mean_200_gauge0,train_auc_mean_200_gauge2,delta_train_auc_mean_200_gauge2_minus_gauge0,train_auc_mean_400_gauge0,train_auc_mean_400_gauge2,delta_train_auc_mean_400_gauge2_minus_gauge0,first_val_loss_le_0p2_gauge0,first_val_loss_le_0p2_gauge2,delta_first_val_loss_le_0p2_gauge2_minus_gauge0,first_val_loss_le_0p15_gauge0,first_val_loss_le_0p15_gauge2,delta_first_val_loss_le_0p15_gauge2_minus_gauge0
Code,RLB+AdamW,0.10472925752401352,0.11388804018497467,0.009158782660961151,1.1104099345196499,1.1206266527076136,0.01021671818796377,2.429719569844816,2.2702449513365277,-0.15947461850828848,1.29563435124126,1.2163265639528595,-0.07930778728840049,0.747022859518415,0.7065607195543511,-0.04046213996406389,2.638281933967459,2.4590890712116695,-0.1791928627557895,1.4006136938539497,1.3129848850819932,-0.08762880877195656,250,225,-25,350,375,25
Code,RLB+Muon,0.10871021449565887,0.10491813719272614,-0.0037920773029327393,1.1148392392760444,1.1106196881886954,-0.0042195510873490605,4.214772424206662,3.490592344846558,-0.7241800793601039,2.211776788148067,1.83900859040724,-0.37276819774082726,1.2352883013410467,1.0344062893886432,-0.20088201195240352,4.503984951310688,3.7774789303474625,-0.7265060209632255,2.3590293848221595,1.9842419925381036,-0.3747873922840559,300,275,-25,425,400,-25
Code,RLB MatrixPolicy,0.11096800118684769,0.11507223546504974,0.004104234278202057,1.117359152115674,1.1219544795484455,0.004595327432771468,2.154107696409501,1.967608004546345,-0.18649969186315585,1.1541357359155677,1.0764118604604762,-0.07772387545509152,0.6721492692360652,0.6335532572941086,-0.03859601194195661,2.3567625935195147,2.173354010698284,-0.18340858282123085,1.2555776678525747,1.1815249505472263,-0.07405271730534846,200,200,0,350,400,50
Code,RLB MatrixPolicy group-stat,0.11087494343519211,0.11669417470693588,0.005819231271743774,1.117255178023059,1.123775698100099,0.00652052007703996,2.1753034432554363,1.9560566489870226,-0.21924679426841376,1.164843257096477,1.0653856880122559,-0.09945756908422121,0.6779150965167222,0.6273144225581228,-0.05060067395859946,2.3814649793154565,2.169078310405589,-0.21238666890986746,1.268110829043176,1.1795820555305023,-0.08852877351267363,200,200,0,350,400,50
Reasoning mix,RLB+AdamW,0.1710674911737442,0.17243796586990356,0.0013704746961593628,1.186570829377328,1.1881981094926046,0.0016272801152765748,3.1178594733302916,2.9403839289543017,-0.1774755443759899,1.7300580319082528,1.6455495459842204,-0.08450848592403237,1.0140961183506114,0.9706029643880351,-0.04349315396257636,3.342854041733068,3.168069851108931,-0.1747841906241372,1.8435431168508276,1.760222358375464,-0.08332075847536369,550,550,0,,,
Reasoning mix,RLB+Muon,0.1828056424856186,0.172880157828331,-0.009925484657287598,1.2005810434560618,1.1887236373251686,-0.011857406130893144,4.82597765700901,4.108011169649249,-0.7179664873597611,2.671525292079849,2.2831875416718628,-0.38833775040798635,1.528907197906831,1.3154322339373532,-0.21347496396947774,5.098026192118375,4.3771517380265,-0.7208744540918754,2.8114263541069047,2.4217077693926594,-0.38971858471424525,650,600,-50,,,
Reasoning mix,RLB MatrixPolicy,0.17260010540485382,0.17112214863300323,-0.001477956771850586,1.1883907790007568,1.1866356860965284,-0.0017550929042284835,2.734591371075592,2.5668475845800574,-0.16774378649553467,1.5352438888080735,1.4469031741035014,-0.08834071470457205,0.9098736661398045,0.8618517790899894,-0.048021887049815026,2.9573374259894547,2.8048288451766643,-0.1525085808127904,1.6489639502922262,1.5691860568901848,-0.07977789340204144,525,525,0,,,
Reasoning mix,RLB MatrixPolicy group-stat,0.16395623981952667,0.17024217545986176,0.006285935640335083,1.1781627573497537,1.185591937829061,0.007429180479307185,2.7352145313467813,2.5754026622328925,-0.15981186911388878,1.5225490325114184,1.4603589730603355,-0.06219005945108291,0.8984977033073817,0.8704126307240952,-0.028085072583286408,2.95678109361565,2.813922323473734,-0.14285877014191595,1.6339224655024522,1.5800025216432143,-0.05391994385923793,500,550,50,,,
