task,task_safe,method,gauge_log_scale,step,loss,train_ppl,path
Code,synthetic_code,RLB+AdamW,0.0,230,0.2024221673607826,1.2243647858706177,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,240,0.18646442741155625,1.2049817570031658,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,250,0.17812150716781616,1.194970509896172,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,260,0.17256163209676742,1.1883450585557032,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,270,0.16936438530683517,1.1845516935254239,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,280,0.16359032988548278,1.1777317347554526,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,290,0.16318109929561614,1.1772498695066589,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,300,0.1586518406867981,1.1719298573505335,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,310,0.15695737153291703,1.169945739844434,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,320,0.15526835173368453,1.167971346190173,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
Code,synthetic_code,RLB+AdamW,0.0,330,0.15338418781757354,1.1657727686153225,experiments/runs/rlb_gauge_stress_20260529/synthetic_code/synthetic_code_rlb_adamw_gauge0p0_20260529/rlb_fused_fixed_strong_ffn.jsonl
