target_loss,matrixpolicy_mean_tokens_all_hits,matrixpolicy_hit_seeds,matrixpolicy_mean_tokens_second_best_common,second_best_mean_tokens_common,second_best_common_seeds,saved_tokens_vs_second_best,saved_fraction_vs_second_best,matrixpolicy_mean_tokens_silu_adamw_common,silu_adamw_mean_tokens_common,silu_adamw_common_seeds,saved_tokens_vs_silu_adamw,saved_fraction_vs_silu_adamw
4.4,74274133.33333333,3,74274133.33333333,80281600.0,3,6007466.666666672,0.07482993197278917,74274133.33333333,93388800.0,3,19114666.66666667,0.20467836257309946
4.3,100488533.33333333,3,100488533.33333333,103765333.33333333,3,3276800.0,0.031578947368421054,100488533.33333333,120695466.66666667,3,20206933.333333343,0.16742081447963808
4.2,131072000.0,3,131072000.0,137079466.66666666,3,6007466.666666657,0.04382470119521906,131072000.0,161109333.33333334,3,30037333.333333343,0.18644067796610175
4.1,174762666.66666666,3,174762666.66666666,185685333.33333334,3,10922666.666666687,0.05882352941176481,174762666.66666666,227737600.0,3,52974933.33333334,0.23261390887290173
4.05,200977066.66666666,3,200977066.66666666,220091733.33333334,3,19114666.666666687,0.0868486352357321,181862400.0,244121600.0,1,62259200.0,0.2550335570469799
4.0,238660266.66666666,3,227737600.0,262144000.0,2,34406400.0,0.13125,nan,nan,0,nan,nan
