method,mean_final_val_loss,std_final_val_loss,min_final_val_loss,max_final_val_loss,finite_seeds,diverged_seeds
rlb_matrixpolicy_original,3.9576265017191568,0.03071290081984648,3.9236879348754883,3.9835071563720703,3,0
silu_lion,3.993429978688558,0.023038040168255374,3.968263626098633,4.013479232788086,3,0
rlb_muon,3.9934890270233154,0.029634169794806268,3.9617233276367188,4.020389556884766,3,0
rlb_lion,3.994293212890625,0.030088389860637846,3.9603519439697266,4.017690658569336,3,0
silu_muon,3.9972660541534424,0.030471937588831963,3.9646780490875244,4.025051593780518,3,0
silu_adamw,4.049337069193522,0.027468514117178572,4.018326759338379,4.070611953735352,3,0
rlb_adamw,4.0529147783915205,0.02817934712051219,4.021016597747803,4.074427604675293,3,0
rlb_soap,4.076804161071777,0.04030491697957158,4.03432559967041,4.114510536193848,3,0
silu_soap,4.09643030166626,0.02998794153840006,4.062709808349609,4.120107650756836,3,0
rlb_schedulefree,4.356261412302653,0.03323216773524043,4.318151950836182,4.379205703735352,3,0
silu_schedulefree,4.365672429402669,0.02980548563509327,4.332935810089111,4.391238689422607,3,0
silu_came,4.368189175923665,0.022586368465654358,4.3449554443359375,4.390067100524902,3,0
rlb_came,4.450294176737468,0.03402137816942537,4.428269386291504,4.48947811126709,3,0
silu_ademamix,nan,nan,nan,nan,0,3
rlb_ademamix,nan,nan,nan,nan,0,3
