task,method,step,loss,lr,seconds_per_step
fineweb,SiLU+AdamW,1,10.98140811920166,1.4999999999999998e-06,1.3510854199994355
fineweb,SiLU+AdamW,10,10.859775649176704,1.4999999999999999e-05,0.6932343954220415
fineweb,SiLU+AdamW,20,10.181656646728516,2.9999999999999997e-05,0.6235795916058123
fineweb,SiLU+AdamW,30,9.578909111022949,4.4999999999999996e-05,0.6244486232753843
fineweb,SiLU+AdamW,40,9.23913221359253,5.9999999999999995e-05,0.6220889600226656
fineweb,SiLU+AdamW,50,8.813854122161866,7.5e-05,0.6217003763886169
fineweb,SiLU+AdamW,60,8.370078468322754,8.999999999999999e-05,0.6199963824823499
fineweb,SiLU+AdamW,70,7.983788681030274,0.00010499999999999999,0.6217950764345005
fineweb,SiLU+AdamW,80,7.724811697006226,0.00011999999999999999,0.6213929157005623
fineweb,SiLU+AdamW,90,7.575294923782349,0.00013499999999999997,0.6214851218974218
fineweb,SiLU+AdamW,100,7.442257356643677,0.00015,0.6199720217846334
fineweb,SiLU+AdamW,110,7.283745813369751,0.00016499999999999997,0.6214669422945007
fineweb,SiLU+AdamW,120,7.195307064056396,0.00017999999999999998,0.6213465543696657
fineweb,SiLU+AdamW,130,7.065533256530761,0.000195,0.6194250493776053
fineweb,SiLU+AdamW,140,6.9409778118133545,0.00020999999999999998,0.6247779545141384
fineweb,SiLU+AdamW,150,6.820667505264282,0.000225,0.6242988403653726
fineweb,SiLU+AdamW,160,6.7442950248718265,0.00023999999999999998,0.6231040487764403
fineweb,SiLU+AdamW,170,6.621566295623779,0.00025499999999999996,0.6225867729401215
fineweb,SiLU+AdamW,180,6.58771390914917,0.00026999999999999995,0.6239795971428975
fineweb,SiLU+AdamW,190,6.509965896606445,0.000285,0.6258422672050074
fineweb,SiLU+AdamW,200,6.439612913131714,0.0003,0.6230275086360052
fineweb,SiLU+AdamW,210,6.356874990463257,0.000299993356525765,0.6197261494584382
fineweb,SiLU+AdamW,220,6.3090473175048825,0.0002999703922691041,0.6213382236659527
fineweb,SiLU+AdamW,230,6.273680114746094,0.0002999310280014982,0.6234822968253866
fineweb,SiLU+AdamW,240,6.242276811599732,0.00029987526850602916,0.6182901563122869
fineweb,SiLU+AdamW,250,6.158823680877686,0.00029980312055793344,0.6188089482020587
fineweb,SiLU+AdamW,260,6.115992259979248,0.00029971459292377916,0.6211948935640976
fineweb,SiLU+AdamW,270,6.10587158203125,0.00029960969636040076,0.6184088333509863
fineweb,SiLU+AdamW,280,6.039811325073242,0.00029948844361359214,0.6176143940770998
fineweb,SiLU+AdamW,290,6.0427288055419925,0.0002993508494165576,0.6218275567982345
fineweb,SiLU+AdamW,300,5.979766798019409,0.0002991969304881219,0.6260597101179883
fineweb,SiLU+AdamW,310,5.959636974334717,0.0002990267055306988,0.627542491722852
fineweb,SiLU+AdamW,320,5.928414154052734,0.0002988401952280183,0.6279885839670897
fineweb,SiLU+AdamW,330,5.866228437423706,0.00029863742224261374,0.6243347217096016
fineweb,SiLU+AdamW,340,5.869833993911743,0.0002984184112130679,0.624317847727798
fineweb,SiLU+AdamW,350,5.857204103469849,0.00029818318875101914,0.6245865188771859
fineweb,SiLU+AdamW,360,5.827813053131104,0.00029793178343792817,0.621879395423457
fineweb,SiLU+AdamW,370,5.784128713607788,0.00029766422582160485,0.6239924791269005
fineweb,SiLU+AdamW,380,5.780262041091919,0.0002973805484124966,0.6187907699029893
fineweb,SiLU+AdamW,390,5.729145431518555,0.0002970807856797379,0.6197791350074112
fineweb,SiLU+AdamW,400,5.6878283500671385,0.0002967649740469624,0.6185791119467468
fineweb,SiLU+AdamW,410,5.703548622131348,0.0002964331518878766,0.6208862536353991
fineweb,SiLU+AdamW,420,5.707432746887207,0.0002960853595215975,0.6186538228299469
fineweb,SiLU+AdamW,430,5.67110161781311,0.0002957216392077535,0.6190472191665322
fineweb,SiLU+AdamW,440,5.6448320865631105,0.00029534203514134934,0.6166237754747271
fineweb,SiLU+AdamW,450,5.630712699890137,0.0002949465934473961,0.6172102939104661
fineweb,SiLU+AdamW,460,5.621166801452636,0.0002945353621753067,0.6193181395996362
fineweb,SiLU+AdamW,470,5.5839300632476805,0.00029410839129305743,0.6182895659701899
fineweb,SiLU+AdamW,480,5.583948755264283,0.0002936657326811166,0.6221472090575844
fineweb,SiLU+AdamW,490,5.547425317764282,0.00029320744012614015,0.6227860042825342
fineweb,SiLU+AdamW,500,5.566040420532227,0.0002927335693144369,0.6222052555531263
fineweb,SiLU+AdamW,510,5.51931734085083,0.0002922441778252015,0.6258200829848647
fineweb,SiLU+AdamW,520,5.530085849761963,0.0002917393251235184,0.6228684119880199
fineweb,SiLU+AdamW,530,5.476688528060913,0.0002912190725531364,0.6224663141416386
fineweb,SiLU+AdamW,540,5.445358371734619,0.00029068348332901475,0.6210358100710437
fineweb,SiLU+AdamW,550,5.461465787887573,0.00029013262252964206,0.6243093932280317
fineweb,SiLU+AdamW,560,5.488273763656617,0.0002895665570891288,0.619916217890568
fineweb,SiLU+AdamW,570,5.466479635238647,0.00028898535578907405,0.6207222239114344
fineweb,SiLU+AdamW,580,5.426207685470581,0.0002883890892502082,0.6188148686895147
fineweb,SiLU+AdamW,590,5.4143932342529295,0.00028777782992381193,0.6178128218045458
fineweb,SiLU+AdamW,600,5.399502801895141,0.0002871516520829126,0.6220262640388683
fineweb,SiLU+AdamW,610,5.38649468421936,0.0002865106318132596,0.619924997841008
fineweb,SiLU+AdamW,620,5.348507595062256,0.0002858548470040794,0.622557271271944
fineweb,SiLU+AdamW,630,5.356599521636963,0.000285184377338611,0.622811051714234
fineweb,SiLU+AdamW,640,5.361878967285156,0.00028449930428442433,0.6214533032849431
fineweb,SiLU+AdamW,650,5.319528865814209,0.0002837997110835208,0.6192298333859071
fineweb,SiLU+AdamW,660,5.318586921691894,0.0002830856827422189,0.6206748857628555
fineweb,SiLU+AdamW,670,5.30942931175232,0.00028235730602082517,0.6249502293998376
fineweb,SiLU+AdamW,680,5.316332578659058,0.00028161466942309217,0.6231222996953875
fineweb,SiLU+AdamW,690,5.3036164283752445,0.00028085786318546465,0.6210340104298666
fineweb,SiLU+AdamW,700,5.262579393386841,0.0002800869792661148,0.6212182832416147
fineweb,SiLU+AdamW,710,5.310940265655518,0.00027930211133376875,0.6216346715344117
fineweb,SiLU+AdamW,720,5.262106418609619,0.0002785033547563251,0.6237088252557441
fineweb,SiLU+AdamW,730,5.275650262832642,0.00027769080658926693,0.6225991226732731
fineweb,SiLU+AdamW,740,5.263156127929688,0.0002768645655638685,0.6211413731332869
fineweb,SiLU+AdamW,750,5.245275783538818,0.00027602473207519906,0.6201403878163546
fineweb,SiLU+AdamW,760,5.233079433441162,0.0002751714081699235,0.6198267313884571
fineweb,SiLU+AdamW,770,5.232802486419677,0.0002743046975339032,0.6207453166134655
fineweb,SiLU+AdamW,780,5.223856735229492,0.00027342470547959735,0.6204308153362945
fineweb,SiLU+AdamW,790,5.189109945297242,0.00027253153893326646,0.6247970171971247
fineweb,SiLU+AdamW,800,5.203272914886474,0.00027162530642197997,0.6216252998448908
fineweb,SiLU+AdamW,810,5.18239107131958,0.0002707061180604293,0.6191741916816682
fineweb,SiLU+AdamW,820,5.152845001220703,0.0002697740855375481,0.6184460957767441
fineweb,SiLU+AdamW,830,5.158750915527344,0.0002688293221029412,0.6196682523237541
fineweb,SiLU+AdamW,840,5.15545244216919,0.00026787194255312364,0.6186934230150655
fineweb,SiLU+AdamW,850,5.147647714614868,0.00026690206321757203,0.620600408106111
fineweb,SiLU+AdamW,860,5.147327423095703,0.0002659198019445897,0.6223263193154708
fineweb,SiLU+AdamW,870,5.118080043792725,0.0002649252780869868,0.6214954287279397
fineweb,SiLU+AdamW,880,5.089362668991089,0.0002639186124875786,0.6226976798614487
fineweb,SiLU+AdamW,890,5.09595799446106,0.00026289992746450134,0.6224434806033969
fineweb,SiLU+AdamW,900,5.074302530288696,0.00026186934679635007,0.6208202876383438
fineweb,SiLU+AdamW,910,5.084646463394165,0.0002608269957071384,0.6221553658135235
fineweb,SiLU+AdamW,920,5.07053689956665,0.0002597730008510828,0.621628856821917
fineweb,SiLU+AdamW,930,5.054673147201538,0.00025870749029721293,0.6173385528614744
fineweb,SiLU+AdamW,940,5.080317831039428,0.00025763059351381027,0.6173995536286384
fineweb,SiLU+AdamW,950,5.0415362358093265,0.0002565424413526768,0.6194930538069456
fineweb,SiLU+AdamW,960,5.050797796249389,0.00025544316603323523,0.6234962068498134
fineweb,SiLU+AdamW,970,5.030907726287841,0.0002543329011264634,0.623879901599139
fineweb,SiLU+AdamW,980,5.03654465675354,0.00025321178153866423,0.6234210494207219
fineweb,SiLU+AdamW,990,5.0299159526824955,0.0002520799434950734,0.6192886316683144
fineweb,SiLU+AdamW,1000,5.004693603515625,0.0002509375245233072,0.6201665964443237
fineweb,SiLU+AdamW,1010,4.991346025466919,0.0002497846634366514,0.6195317961275577
fineweb,SiLU+AdamW,1020,4.988891315460205,0.0002486215003171946,0.6210783439688384
fineweb,SiLU+AdamW,1030,5.008353567123413,0.00024744817649880683,0.6211171628674492
fineweb,SiLU+AdamW,1040,4.9935911178588865,0.0002462648345499665,0.6229024749714881
fineweb,SiLU+AdamW,1050,4.96277437210083,0.0002450716182564374,0.6218727355124429
fineweb,SiLU+AdamW,1060,4.969408273696899,0.0002438686726037968,0.6210976004134864
fineweb,SiLU+AdamW,1070,4.952155876159668,0.0002426561437598195,0.6222360153216868
fineweb,SiLU+AdamW,1080,4.9287083625793455,0.0002414341790567164,0.6221567442407832
fineweb,SiLU+AdamW,1090,4.96206374168396,0.0002402029269732328,0.620055778301321
fineweb,SiLU+AdamW,1100,4.931483316421509,0.00023896253711660717,0.6225474721984938
fineweb,SiLU+AdamW,1110,4.942625856399536,0.0002377131602043922,0.6234779448946938
fineweb,SiLU+AdamW,1120,4.9251447200775145,0.0002364549480461418,0.624565780092962
fineweb,SiLU+AdamW,1130,4.930049037933349,0.00023518805352496484,0.6259731104597449
fineweb,SiLU+AdamW,1140,4.903663063049317,0.00023391263057894837,0.6237456801114604
fineweb,SiLU+AdamW,1150,4.8977845191955565,0.00023262883418245333,0.6251095966435969
fineweb,SiLU+AdamW,1160,4.903882884979248,0.00023133682032728357,0.6225721206283197
fineweb,SiLU+AdamW,1170,4.898246622085571,0.0002300367460037315,0.6187441335292533
fineweb,SiLU+AdamW,1180,4.895836544036865,0.00022872876918150292,0.6184000814100727
fineweb,SiLU+AdamW,1190,4.901414299011231,0.00022741304879052182,0.6179736081976444
fineweb,SiLU+AdamW,1200,4.902636623382568,0.00022608974470161945,0.6199416148243472
fineweb,SiLU+AdamW,1210,4.852762222290039,0.00022475901770710883,0.6165260346373543
fineweb,SiLU+AdamW,1220,4.87037296295166,0.00022342102950124673,0.6207323319045827
fineweb,SiLU+AdamW,1230,4.846273756027221,0.0002220759426605868,0.6230810096021742
fineweb,SiLU+AdamW,1240,4.853165340423584,0.0002207239206242251,0.6183547402499243
fineweb,SiLU+AdamW,1250,4.83676061630249,0.00021936512767394096,0.6177720010047778
fineweb,SiLU+AdamW,1260,4.831699085235596,0.0002179997289142353,0.6191029725130648
fineweb,SiLU+AdamW,1270,4.832111358642578,0.00021662789025226912,0.6236810144735501
fineweb,SiLU+AdamW,1280,4.826910018920898,0.0002152497783777045,0.6249173071002587
fineweb,SiLU+AdamW,1290,4.840927076339722,0.00021386556074245026,0.6212305563036352
fineweb,SiLU+AdamW,1300,4.800350761413574,0.00021247540554031533,0.6222246692515909
fineweb,SiLU+AdamW,1310,4.815477418899536,0.00021107948168657182,0.6243219336960465
fineweb,SiLU+AdamW,1320,4.787066698074341,0.00020967795879743028,0.6191629341104999
fineweb,SiLU+AdamW,1330,4.767062520980835,0.00020827100716943014,0.618087677937001
fineweb,SiLU+AdamW,1340,4.776859331130981,0.00020685879775874703,0.6191293119220063
fineweb,SiLU+AdamW,1350,4.814934301376343,0.0002054415021604205,0.6213920688722283
fineweb,SiLU+AdamW,1360,4.78126277923584,0.00020401929258750362,0.6207727460190654
fineweb,SiLU+AdamW,1370,4.759577989578247,0.00020259234185013772,0.6230485073523596
fineweb,SiLU+AdamW,1380,4.777912521362305,0.00020116082333455448,0.6223947313148528
fineweb,SiLU+AdamW,1390,4.769139623641967,0.00019972491098200823,0.6178766079479828
fineweb,SiLU+AdamW,1400,4.737261390686035,0.00019828477926764048,0.619968291814439
fineweb,SiLU+AdamW,1410,4.751523542404175,0.00019684060317927993,0.6228818845702335
fineweb,SiLU+AdamW,1420,4.743504667282105,0.00019539255819617994,0.6179958717897535
fineweb,SiLU+AdamW,1430,4.75926570892334,0.00019394082026769627,0.6179100703215227
fineweb,SiLU+AdamW,1440,4.736274385452271,0.0001924855657919079,0.621800720389001
fineweb,SiLU+AdamW,1450,4.723698997497559,0.0001910269715941832,0.6219428783981129
fineweb,SiLU+AdamW,1460,4.732414865493775,0.00018956521490569417,0.620398607919924
fineweb,SiLU+AdamW,1470,4.729872179031372,0.00018810047334188142,0.6238882630830631
fineweb,SiLU+AdamW,1480,4.7308349609375,0.00018663292488087238,0.6215677049243823
fineweb,SiLU+AdamW,1490,4.715365362167359,0.00018516274784185555,0.6223877074429766
fineweb,SiLU+AdamW,1500,4.709002351760864,0.0001836901208634133,0.6184508638922125
fineweb,SiLU+AdamW,1510,4.7005868434906,0.00018221522288181568,0.6216457758331672
fineweb,SiLU+AdamW,1520,4.708801746368408,0.00018073823310927836,0.6224125440930948
fineweb,SiLU+AdamW,1530,4.715114736557007,0.00017925933101218665,0.6214158820454031
fineweb,SiLU+AdamW,1540,4.690723705291748,0.00017777869628928913,0.6215136412065476
fineweb,SiLU+AdamW,1550,4.688982677459717,0.0001762965088498626,0.6205805430654436
fineweb,SiLU+AdamW,1560,4.680402088165283,0.00017481294879185156,0.6233071041060612
fineweb,SiLU+AdamW,1570,4.6838585376739506,0.00017332819637998513,0.6217178831109778
fineweb,SiLU+AdamW,1580,4.681115055084229,0.0001718424320238731,0.6217966514639557
fineweb,SiLU+AdamW,1590,4.654716682434082,0.00017035583625608485,0.6223579286597669
fineweb,SiLU+AdamW,1600,4.6445841789245605,0.000168868589710213,0.6261016299948097
fineweb,SiLU+AdamW,1610,4.658152866363525,0.00016738087309892515,0.6243050802731887
fineweb,SiLU+AdamW,1620,4.660804796218872,0.00016589286719200568,0.6249271136941388
fineweb,SiLU+AdamW,1630,4.641007804870606,0.00016440475279439078,0.6253851424437016
fineweb,SiLU+AdamW,1640,4.650489568710327,0.00016291671072419912,0.6241724147927016
fineweb,SiLU+AdamW,1650,4.648871946334839,0.00016142892179076102,0.62294803080149
fineweb,SiLU+AdamW,1660,4.661155796051025,0.0001599415667726486,0.6230034790700302
fineweb,SiLU+AdamW,1670,4.63431305885315,0.0001584548263957097,0.6205180785153062
fineweb,SiLU+AdamW,1680,4.648232078552246,0.0001569688813111081,0.6175551142077893
fineweb,SiLU+AdamW,1690,4.638646268844605,0.00015548391207337333,0.6194928651209921
fineweb,SiLU+AdamW,1700,4.643645572662353,0.0001540000991184612,0.6194128532661125
fineweb,SiLU+AdamW,1710,4.627986574172974,0.0001525176227418298,0.6240138316294178
fineweb,SiLU+AdamW,1720,4.624132537841797,0.00015103666307653203,0.6221363624790683
fineweb,SiLU+AdamW,1730,4.598947763442993,0.0001495574000713278,0.6204885361948982
fineweb,SiLU+AdamW,1740,4.617400598526001,0.0001480800134688189,0.6228836589958519
fineweb,SiLU+AdamW,1750,4.628173398971557,0.0001466046827836089,0.6190801586722955
fineweb,SiLU+AdamW,1760,4.5896899700164795,0.00014513158728049044,0.6234595749760047
fineweb,SiLU+AdamW,1770,4.603046607971192,0.00014366090595266314,0.6261207842966542
fineweb,SiLU+AdamW,1780,4.628381824493408,0.00014219281749998456,0.624192623491399
fineweb,SiLU+AdamW,1790,4.5798815250396725,0.00014072750030725672,0.6239357773447409
