task,source,run_name,label,method,activation,optimizer,seed,status,complete,stopped_early,stop_reason,steps,completed_steps,final_step,final_val_loss,final_val_ppl,best_val_step,best_val_loss,val_loss_auc_250,val_loss_auc_500,val_loss_auc_1000,val_loss_auc_full,train_diverged_step,eval_diverged_step,eval_points,eval_interval_configured,eval_interval_observed_min,eval_interval_observed_max,curve_density_ok,mean_seconds_per_step,tokens_per_second,mean_optimizer_step_seconds,mean_forward_backward_seconds,grad_clip_rate,optimizer_lr,optimizer_min_lr,optimizer_weight_decay,optimizer_beta1,optimizer_beta2,factored_min_dim,factored_clip_threshold,ademamix_alpha,ademamix_beta3,schedule_free_beta1,schedule_free_warmup_steps,came_beta3,came_confidence_scale,soap_precondition_frequency,soap_large_side_identity_threshold,soap_one_sided,muon_momentum,muon_ns_steps,rational_matrix_policy_adam_lr_scale,rational_matrix_policy_group_gain_strength,rational_matrix_policy_group_pressure_strength,rational_matrix_policy_group_activity_damping
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.20_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_adamw_lr0.0003_wd0.20_phase1_protocol_lock,RLB+AdamW lr=0.0003 wd=0.2,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,1337,complete,True,False,,1525,1525,1525,4.639377117156982,103.47987166823523,1525,4.639377117156982,7.076055795792116,6.27903173968405,5.632688250508275,5.31147307423469,,,32,50,25,50,True,2.8829040438995817,11366.316568648646,0.03608774168752497,2.841173658791896,0.045454545454545456,0.0003,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.20_phase1_protocol_lock/silu.jsonl,dclm_adamw_lr0.0003_wd0.20_phase1_protocol_lock,SiLU+AdamW lr=0.0003 wd=0.2,SiLU+AdamW,silu,adamw,1337,complete,True,False,,1525,1525,1525,4.639202117919922,103.46176435407146,1525,4.639202117919922,7.144335055447008,6.314882014700788,5.65505889610008,5.3271943365182155,,,32,50,25,50,True,3.092740331953476,10595.13456769992,0.03615317016884582,3.072939725142001,0.05844155844155844,0.0003,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_adamw_lr0.0005_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0005 wd=0.03,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,1337,complete,True,False,,1525,1525,1525,4.461226940155029,86.59368921915619,1525,4.461226940155029,6.898628856283594,6.133693279866465,5.4891199571592315,5.155411316497433,,,32,50,25,50,True,3.3006040504747562,9927.879715013583,0.0360357282069427,3.2109552656172613,0.032467532467532464,0.0005,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.03_phase1_protocol_lock/silu.jsonl,dclm_adamw_lr0.0005_wd0.03_phase1_protocol_lock,SiLU+AdamW lr=0.0005 wd=0.03,SiLU+AdamW,silu,adamw,1337,complete,True,False,,1525,1525,1525,4.476555824279785,87.93129969316401,1525,4.476555824279785,6.955346063437711,6.171180594182444,5.522486175025429,5.184424391725245,,,32,50,25,50,True,3.207879754826392,10214.846722574044,0.036121186063445006,3.136492636902167,0.032467532467532464,0.0005,3e-05,0.03,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_adamw_lr0.0005_wd0.10_phase1_protocol_lock,RLB+AdamW lr=0.0005 wd=0.1,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,1337,complete,True,False,,1525,1525,1525,4.456295013427734,86.16766690783633,1525,4.456295013427734,6.899905572454613,6.133755502337683,5.488560420256835,5.153663528247143,,,32,50,25,50,True,3.2116710880601254,10202.78823750664,0.03599605551454414,3.1971352676813365,0.032467532467532464,0.0005,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.10_phase1_protocol_lock/silu.jsonl,dclm_adamw_lr0.0005_wd0.10_phase1_protocol_lock,SiLU+AdamW lr=0.0005 wd=0.1,SiLU+AdamW,silu,adamw,1337,complete,True,False,,1525,1525,1525,4.472005367279053,87.53208109729233,1525,4.472005367279053,6.951417809988121,6.169214478953329,5.520350313043451,5.1812590298064425,,,32,50,25,50,True,3.2965169781461126,9940.188452609756,0.036108732376589334,3.3045610239475667,0.032467532467532464,0.0005,3e-05,0.1,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.20_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_adamw_lr0.0005_wd0.20_phase1_protocol_lock,RLB+AdamW lr=0.0005 wd=0.2,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,1337,complete,True,False,,1525,1525,1525,4.451584815979004,85.7627545402183,1525,4.451584815979004,6.902433962228308,6.1351792788457775,5.489002187688787,5.152803141301073,,,32,50,25,50,True,1.5445810172680994,21214.814654369355,0.03596317634294898,1.4992686213308253,0.032467532467532464,0.0005,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0005_wd0.20_phase1_protocol_lock/silu.jsonl,dclm_adamw_lr0.0005_wd0.20_phase1_protocol_lock,SiLU+AdamW lr=0.0005 wd=0.2,SiLU+AdamW,silu,adamw,1337,complete,True,False,,1525,1525,1525,4.469074726104736,87.27593150096364,1525,4.469074726104736,6.956734464829227,6.172786011724529,5.5223982467785016,5.18211970554562,,,32,50,25,50,True,1.3975052306434297,23447.497212524337,0.03603064194839454,1.3602439140335523,0.045454545454545456,0.0005,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as2.0_gg0.20_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as2.0_gg0.20_lr0.0002_wd0.03_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=2 gg=0.2,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,complete,True,False,,1525,1525,1525,4.647768497467041,104.351864119189,1525,4.647768497467041,7.166248461328836,6.340510057781884,5.685683335389222,5.354206298749278,,,32,50,25,50,True,3.2424259198105574,10106.013463497882,0.20338979329253914,3.055625774273131,0.05194805194805195,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,2.0,0.2,0.1,0.2
dclm,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as2.0_gg0.20_lr0.0002_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl,dclm_matrix_policy_as2.0_gg0.20_lr0.0002_wd0.10_phase1_protocol_lock,RLB+MatrixPolicy lr=0.0002 wd=0.1 as=2 gg=0.2,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,1337,complete,True,False,,1525,1525,1525,4.644352912902832,103.99604950622445,1525,4.644352912902832,7.1665610520236465,6.340624663060557,5.68584737978182,5.353717820537998,,,32,50,25,50,True,4.96378452224367,6601.414677281076,0.20087193118146765,4.81012189559761,0.05194805194805195,0.0002,3e-05,0.1,0.9,0.95,,,,,,,,,,,,0.95,5,2.0,0.2,0.1,0.2
