task,method,label,activation,optimizer,optimizer_lr,optimizer_min_lr,optimizer_weight_decay,optimizer_beta1,optimizer_beta2,factored_min_dim,factored_clip_threshold,ademamix_alpha,ademamix_beta3,schedule_free_beta1,schedule_free_warmup_steps,came_beta3,came_confidence_scale,soap_precondition_frequency,soap_large_side_identity_threshold,soap_one_sided,muon_momentum,muon_ns_steps,rational_matrix_policy_adam_lr_scale,rational_matrix_policy_group_gain_strength,rational_matrix_policy_group_pressure_strength,rational_matrix_policy_group_activity_damping,n,complete_n,running_n,stopped_n,diverged_n,curve_density_ok_n,eval_points_min,mean_final_val_loss,std_final_val_loss,mean_best_val_loss,mean_val_loss_auc_250,mean_val_loss_auc_500,mean_val_loss_auc_1000,mean_val_loss_auc_full,mean_seconds_per_step,sources
dclm,SiLU+AdamW,SiLU+AdamW lr=0.0003 wd=0.2,silu,adamw,0.0003,3e-05,0.2,0.9,0.95,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,32,4.639202117919922,0.0,4.639202117919922,7.144335055447008,6.314882014700788,5.65505889610008,5.3271943365182155,3.092740331953476,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_adamw_lr0.0003_wd0.20_phase1_protocol_lock/silu.jsonl
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.1 as=3 gg=0.2,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.1,0.9,0.95,,,,,,,,,,,,0.95,5,3.0,0.2,0.1,0.2,1,1,0,0,0,1,32,4.640575885772705,0.0,4.640575885772705,7.158604468686514,6.337530161909207,5.683218114488237,5.350475025145713,4.4830029774599485,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as3.0_gg0.20_lr0.0002_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.1 as=3 gg=0.35,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.1,0.9,0.95,,,,,,,,,,,,0.95,5,3.0,0.35,0.1,0.2,1,1,0,0,0,1,32,4.640564918518066,0.0,4.640564918518066,7.158634386866925,6.337854581271001,5.683491638592175,5.350665395654093,3.4232790594682325,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as3.0_gg0.35_lr0.0002_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=3 gg=0.2,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,3.0,0.2,0.1,0.2,1,1,0,0,0,1,32,4.642742156982422,0.0,4.642742156982422,7.158995595801787,6.337743322452706,5.683308132656582,5.350808011108809,3.0493671453228957,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as3.0_gg0.20_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=3 gg=0.35,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,3.0,0.35,0.1,0.2,1,1,0,0,0,1,32,4.641755104064941,0.0,4.641755104064941,7.158511343730023,6.337590789986039,5.68332963710552,5.350867765312746,3.0959913626977236,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as3.0_gg0.35_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=4 gg=0.35,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,4.0,0.35,0.1,0.2,1,1,0,0,0,1,32,4.638540267944336,0.0,4.638540267944336,7.158488388521126,6.339069332054001,5.685591803656684,5.3518150060821394,4.9506857207650015,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as4.0_gg0.35_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=4 gg=0.2,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,4.0,0.2,0.1,0.2,1,1,0,0,0,1,32,4.638530731201172,0.0,4.638530731201172,7.158544499232587,6.339145110460943,5.685592686927116,5.351849849924953,4.868302127820521,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as4.0_gg0.20_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.1 as=2 gg=0.35,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.1,0.9,0.95,,,,,,,,,,,,0.95,5,2.0,0.35,0.1,0.2,1,1,0,0,0,1,32,4.644585609436035,0.0,4.644585609436035,7.16639616403235,6.34046488630031,5.685693874015464,5.353610679859251,4.31494808650643,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as2.0_gg0.35_lr0.0002_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.1 as=2 gg=0.2,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.1,0.9,0.95,,,,,,,,,,,,0.95,5,2.0,0.2,0.1,0.2,1,1,0,0,0,1,32,4.644352912902832,0.0,4.644352912902832,7.1665610520236465,6.340624663060557,5.68584737978182,5.353717820537998,4.96378452224367,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as2.0_gg0.20_lr0.0002_wd0.10_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
dclm,RLB+MatrixPolicy,RLB+MatrixPolicy lr=0.0002 wd=0.03 as=2 gg=0.35,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,0.0002,3e-05,0.03,0.9,0.95,,,,,,,,,,,,0.95,5,2.0,0.35,0.1,0.2,1,1,0,0,0,1,32,4.6476945877075195,0.0,4.6476945877075195,7.166177178961206,6.340449427793882,5.6856338269001725,5.35415549071755,2.9263090994211542,experiments/runs/iclr26_phase1_protocol_lock/dclm/dclm_matrix_policy_as2.0_gg0.35_lr0.0002_wd0.03_phase1_protocol_lock/rlb_fused_fixed_strong_ffn.jsonl
