task,run_name,label,activation,optimizer,seed,step,tokens,gpu_hours_approx,loss,lr,seconds_per_step,grad_clip_triggered,grad_global_norm_before_clip
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,200,6553600,0.19818445817767902,6.461900854110718,0.0001,0.8918300617995556,False,0.922404944896698
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,210,6881280,0.20861443378943173,6.395021963119507,9.999203153670699e-05,0.8940618590975646,False,0.9492277503013611
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,220,7208960,0.21930503412932417,6.342271947860718,9.996449088973855e-05,0.8971569578017806,False,0.7559433579444885
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,230,7536640,0.23018204507603918,6.3054094314575195,9.991729516112932e-05,0.9007123502975446,True,1.1071574687957764
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,240,7864320,0.24015953535951365,6.215953159332275,9.985047088167881e-05,0.9005982575981761,True,1.083681344985962
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,250,8192000,0.2498699172509886,6.154142618179321,9.976405561626032e-05,0.8995317021035589,False,0.9328374266624451
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,260,8519680,0.25659639142259644,6.1310042381286625,9.965809794270389e-05,0.8882182780012954,False,0.7805591225624084
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,270,8847360,0.26721727409996676,6.140660285949707,9.953265742448866e-05,0.8907242469998892,False,0.724388599395752
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,280,9175040,0.2782498392497655,6.040014362335205,9.938780457725964e-05,0.8943744833028177,False,0.9312472939491272
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,290,9502720,0.28833280118070737,6.010920238494873,9.922362082918767e-05,0.894825934698747,False,0.8473568558692932
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,300,9830400,0.29906420736709455,5.995577478408814,9.904019847519513e-05,0.8971926221012836,False,0.7901412844657898
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,310,10158080,0.307454251859599,5.95775876045227,9.883764062507285e-05,0.8926091183020617,False,0.8468871116638184
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,320,10485760,0.31698915807892464,5.939123725891113,9.86160611455176e-05,0.8915320070969756,False,0.6395793557167053
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,330,10813440,0.32673145812994336,5.9472511291503904,9.837558459612252e-05,0.8910857948998455,False,0.7955409288406372
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,340,11141120,0.3366923994193591,5.886432123184204,9.811634615935677e-05,0.8912445866983034,False,0.7707447409629822
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,350,11468800,0.3470288861270496,5.852650451660156,9.783849156457349e-05,0.8923599928981275,False,0.7784969806671143
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,360,11796480,0.35677860331954436,5.801207113265991,9.75421770060888e-05,0.8919465082988609,False,0.8370220065116882
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,370,12124160,0.36623184505523465,5.808041286468506,9.722756905537825e-05,0.8908342177019222,False,0.9632846713066101
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,380,12451840,0.3760746628263991,5.805968189239502,9.689484456743954e-05,0.8907031487993663,False,0.7141249775886536
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,390,12779520,0.38546741839619547,5.77342414855957,9.654419058137456e-05,0.8895401962989127,False,0.726987898349762
