task,seed,method,step,loss,lr,seconds_per_step
fineweb,1337,SiLU+AdamW,790,5.189110,0.000273,0.624797
fineweb,1337,SiLU+AdamW,800,5.203273,0.000272,0.621625
fineweb,1337,SiLU+AdamW,810,5.182391,0.000271,0.619174
fineweb,1337,SiLU+AdamW,820,5.152845,0.000270,0.618446
fineweb,1337,SiLU+AdamW,830,5.158751,0.000269,0.619668
fineweb,1337,SiLU+AdamW,840,5.155452,0.000268,0.618693
fineweb,1337,SiLU+AdamW,850,5.147648,0.000267,0.620600
fineweb,1337,SiLU+AdamW,860,5.147327,0.000266,0.622326
fineweb,1337,SiLU+AdamW,870,5.118080,0.000265,0.621495
fineweb,1337,SiLU+AdamW,880,5.089363,0.000264,0.622698
fineweb,1337,SiLU+AdamW,890,5.095958,0.000263,0.622443
fineweb,1337,SiLU+AdamW,900,5.074303,0.000262,0.620820
fineweb,1337,SiLU+AdamW,910,5.084646,0.000261,0.622155
fineweb,1337,SiLU+AdamW,920,5.070537,0.000260,0.621629
fineweb,1337,SiLU+AdamW,930,5.054673,0.000259,0.617339
fineweb,1337,SiLU+AdamW,940,5.080318,0.000258,0.617400
fineweb,1337,SiLU+AdamW,950,5.041536,0.000257,0.619493
fineweb,1337,SiLU+AdamW,960,5.050798,0.000255,0.623496
fineweb,1337,SiLU+AdamW,970,5.030908,0.000254,0.623880
fineweb,1337,SiLU+AdamW,980,5.036545,0.000253,0.623421
fineweb,1337,SiLU+AdamW,990,5.029916,0.000252,0.619289
fineweb,1337,SiLU+AdamW,1000,5.004694,0.000251,0.620167
fineweb,1337,SiLU+AdamW,1010,4.991346,0.000250,0.619532
fineweb,1337,SiLU+AdamW,1020,4.988891,0.000249,0.621078
fineweb,1337,SiLU+AdamW,1030,5.008354,0.000247,0.621117
fineweb,1337,SiLU+AdamW,1040,4.993591,0.000246,0.622902
fineweb,1337,SiLU+AdamW,1050,4.962774,0.000245,0.621873
fineweb,1337,SiLU+AdamW,1060,4.969408,0.000244,0.621098
fineweb,1337,SiLU+AdamW,1070,4.952156,0.000243,0.622236
fineweb,1337,SiLU+AdamW,1080,4.928708,0.000241,0.622157
fineweb,1337,SiLU+AdamW,1090,4.962064,0.000240,0.620056
fineweb,1337,SiLU+AdamW,1100,4.931483,0.000239,0.622547
fineweb,1337,SiLU+AdamW,1110,4.942626,0.000238,0.623478
fineweb,1337,SiLU+AdamW,1120,4.925145,0.000236,0.624566
fineweb,1337,SiLU+AdamW,1130,4.930049,0.000235,0.625973
fineweb,1337,SiLU+AdamW,1140,4.903663,0.000234,0.623746
fineweb,1337,SiLU+AdamW,1150,4.897785,0.000233,0.625110
fineweb,1337,SiLU+AdamW,1160,4.903883,0.000231,0.622572
fineweb,1337,SiLU+AdamW,1170,4.898247,0.000230,0.618744
fineweb,1337,SiLU+AdamW,1180,4.895837,0.000229,0.618400
fineweb,1337,SiLU+AdamW,1190,4.901414,0.000227,0.617974
fineweb,1337,SiLU+AdamW,1200,4.902637,0.000226,0.619942
fineweb,1337,SiLU+AdamW,1210,4.852762,0.000225,0.616526
fineweb,1337,SiLU+AdamW,1220,4.870373,0.000223,0.620732
fineweb,1337,SiLU+AdamW,1230,4.846274,0.000222,0.623081
fineweb,1337,SiLU+AdamW,1240,4.853165,0.000221,0.618355
fineweb,1337,SiLU+AdamW,1250,4.836761,0.000219,0.617772
fineweb,1337,SiLU+AdamW,1260,4.831699,0.000218,0.619103
fineweb,1337,SiLU+AdamW,1270,4.832111,0.000217,0.623681
fineweb,1337,SiLU+AdamW,1280,4.826910,0.000215,0.624917
fineweb,1337,SiLU+AdamW,1290,4.840927,0.000214,0.621231
fineweb,1337,SiLU+AdamW,1300,4.800351,0.000212,0.622225
fineweb,1337,SiLU+AdamW,1310,4.815477,0.000211,0.624322
fineweb,1337,SiLU+AdamW,1320,4.787067,0.000210,0.619163
fineweb,1337,SiLU+AdamW,1330,4.767063,0.000208,0.618088
fineweb,1337,SiLU+AdamW,1340,4.776859,0.000207,0.619129
fineweb,1337,SiLU+AdamW,1350,4.814934,0.000205,0.621392
fineweb,1337,SiLU+AdamW,1360,4.781263,0.000204,0.620773
fineweb,1337,SiLU+AdamW,1370,4.759578,0.000203,0.623049
