row_index,row_id,phase,dataset,dataset_name,dataset_config,text_column,train_split,val_split,val_skip_tokens,model,layers,d_model,heads,ffn_dim,seq_len,batch_size,grad_accum,global_tokens_per_step,train_tokens,val_tokens,steps,eval_interval,eval_batches,seed,method,activation,optimizer,lr,min_lr,weight_decay,extra_args
81,E1_runtime_repair_row81_fineweb_edu_m0_100m_seed2027_silu_soap,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,silu_soap,silu,soap_adamw,0.0003,0.00003,0.10,--soap-precondition-frequency 50 --no-soap-one-sided
82,E1_runtime_repair_row82_fineweb_edu_m0_100m_seed2027_rlb_soap,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_soap,rlb_fused_fixed_strong_ffn,soap_adamw,0.0003,0.00003,0.10,--soap-precondition-frequency 50 --no-soap-one-sided
83,E1_runtime_repair_row83_fineweb_edu_m0_100m_seed2027_silu_ademamix,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,silu_ademamix,silu,ademamix,0.0003,0.00003,0.10,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
84,E1_runtime_repair_row84_fineweb_edu_m0_100m_seed2027_rlb_ademamix,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_ademamix,rlb_fused_fixed_strong_ffn,ademamix,0.0003,0.00003,0.10,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
85,E1_runtime_repair_row85_fineweb_edu_m0_100m_seed2027_silu_came,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,silu_came,silu,adafactor_came,0.0003,0.00003,0.10,--came-confidence-scale 1.0
86,E1_runtime_repair_row86_fineweb_edu_m0_100m_seed2027_rlb_came,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_came,rlb_fused_fixed_strong_ffn,adafactor_came,0.0003,0.00003,0.10,--came-confidence-scale 1.0
87,E1_runtime_repair_row87_fineweb_edu_m0_100m_seed2027_silu_schedulefree,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,silu_schedulefree,silu,schedule_free_adamw,0.0003,0.00003,0.10,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
88,E1_runtime_repair_row88_fineweb_edu_m0_100m_seed2027_rlb_schedulefree,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_schedulefree,rlb_fused_fixed_strong_ffn,schedule_free_adamw,0.0003,0.00003,0.10,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
