budget_tokens,dataset,seed,method,final_val_loss,final_val_ppl,total_minutes,mean_seconds_per_step,tokens_per_second,slurm_job_id,slurm_restart_count,slurm_node,jsonl
100000000,c4_en,3407,no_role_depth,4.305235,74.087,20.363,0.375618,87237.455,573706,0,seo-compute-01,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/c4_en/E1_matrixpolicy_ablation_no_role_depth_100m_c4_en_m0_100m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,c4_en,3407,role_depth_v2,4.293108,73.194,24.950,0.463586,70683.783,680767,0,damle-compute-01,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v2_100m_c4_en_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
100000000,c4_en,3407,role_depth_v3,4.307411,74.248,24.294,0.448325,73089.889,707585,0,damle-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v3_100m_c4_en_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
100000000,c4_en,3407,role_depth_v4,4.296788,73.463,25.064,0.468217,69984.598,707600,0,badfellow,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v4_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v4_100m_c4_en_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v4/rlb_fused_global_rational.jsonl
100000000,c4_en,3407,role_depth_v5,4.292103,73.120,21.754,0.404274,81053.991,749328,0,elor-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v5_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v5_100m_c4_en_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v5/rlb_fused_global_rational.jsonl
100000000,c4_en,3407,role_depth_v6,4.297265,73.499,22.858,0.425999,76920.333,749343,0,elor-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v6_100m/c4_en/E1_matrixpolicy_ablation_role_depth_v6_100m_c4_en_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v6/rlb_fused_global_rational.jsonl
100000000,dclm,1337,full,4.246725,69.876,24.436,0.456210,71826.601,,,,experiments/runs/iclr26_main/E1_rational_only_100m/dclm/E1_rational_only_100m_dclm_m0_100m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,dclm,1337,no_role_depth,4.261313,70.903,20.318,0.376132,87118.338,567140,0,abdelfattah-compute-03,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dclm/E1_matrixpolicy_ablation_no_role_depth_100m_dclm_m0_100m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,dclm,1337,role_depth_v2,4.245911,69.819,27.461,0.510865,64142.142,676423,0,ellis-compute-02,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dclm/E1_matrixpolicy_ablation_role_depth_v2_100m_dclm_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
100000000,dclm,1337,role_depth_v3,4.258096,70.675,23.694,0.441631,74197.767,707327,1,badfellow,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/dclm/E1_matrixpolicy_ablation_role_depth_v3_100m_dclm_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
100000000,dclm,1337,role_depth_v4,4.250974,70.174,25.968,0.486784,67315.241,707586,0,nikola-compute-18,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v4_100m/dclm/E1_matrixpolicy_ablation_role_depth_v4_100m_dclm_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v4/rlb_fused_global_rational.jsonl
100000000,dclm,1337,role_depth_v5,4.247953,69.962,24.571,0.457526,71619.934,763777,0,badfellow,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v5_100m/dclm/E1_matrixpolicy_ablation_role_depth_v5_100m_dclm_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v5/rlb_fused_global_rational.jsonl
100000000,dclm,1337,role_depth_v6,4.251457,70.208,22.861,0.425076,77087.332,749329,0,elor-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v6_100m/dclm/E1_matrixpolicy_ablation_role_depth_v6_100m_dclm_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v6/rlb_fused_global_rational.jsonl
