budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,hit_status,target_hit_minutes,total_minutes,mean_seconds_per_step,tokens_per_second,final_val_loss,slurm_job_id,slurm_restart_count,slurm_node
100000000,dclm,1337,full,4.90,950,31129600,130.757,hit,7.223,24.436,0.456210,71826.601,4.246725,,,
100000000,dclm,1337,full,4.70,1250,40960000,107.660,hit,9.504,24.436,0.456210,71826.601,4.246725,,,
100000000,dclm,1337,full,4.55,1550,50790400,93.380,hit,11.785,24.436,0.456210,71826.601,4.246725,,,
100000000,dclm,1337,full,4.45,1850,60620800,84.305,hit,14.066,24.436,0.456210,71826.601,4.246725,,,
100000000,dclm,1337,full,4.35,2200,72089600,77.426,hit,16.728,24.436,0.456210,71826.601,4.246725,,,
100000000,dclm,1337,full,4.30,2500,81920000,73.697,hit,19.009,24.436,0.456210,71826.601,4.246725,,,
100000000,dclm,1337,no_role_depth,4.90,950,31129600,131.363,hit,5.955,20.318,0.376132,87118.338,4.261313,567140,0,abdelfattah-compute-03
100000000,dclm,1337,no_role_depth,4.70,1250,40960000,108.490,hit,7.836,20.318,0.376132,87118.338,4.261313,567140,0,abdelfattah-compute-03
100000000,dclm,1337,no_role_depth,4.55,1550,50790400,94.159,hit,9.717,20.318,0.376132,87118.338,4.261313,567140,0,abdelfattah-compute-03
100000000,dclm,1337,no_role_depth,4.45,1850,60620800,85.039,hit,11.597,20.318,0.376132,87118.338,4.261313,567140,0,abdelfattah-compute-03
100000000,dclm,1337,no_role_depth,4.35,2300,75366400,76.981,hit,14.418,20.318,0.376132,87118.338,4.261313,567140,0,abdelfattah-compute-03
100000000,dclm,1337,no_role_depth,4.30,2600,85196800,73.620,hit,16.299,20.318,0.376132,87118.338,4.261313,567140,0,abdelfattah-compute-03
100000000,dclm,1337,role_depth_v2,4.90,950,31129600,130.980,hit,8.089,27.461,0.510865,64142.142,4.245911,676423,0,ellis-compute-02
100000000,dclm,1337,role_depth_v2,4.70,1250,40960000,108.111,hit,10.643,27.461,0.510865,64142.142,4.245911,676423,0,ellis-compute-02
