scope,phase,dataset,method,method_label,activation,optimizer,runs,early_stop_runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dclm,rlb_ademamix,RLB+ADeMaMix,rlb_fused_global_rational,ademamix,3,3,3050,100000000,247.8083312866123,86.44287302053098,192.53942825901322,347.4245969248004,4.130138854776871,0.06883564757961452,0.44018111889082717,74464.7340723428
E1_m0_100m_all_datasets,E1_m0_100m,dclm,silu_came,SiLU+CAME,silu,adafactor_came,3,0,3050,100000000,2103.241821946654,66.01101616819199,2046.1126636989939,2175.505928687984,35.054030365777564,0.5842338394296261,0.6710004255892306,48864.624127732786
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dclm,rlb_came,RLB+CAME,rlb_fused_global_rational,adafactor_came,3,0,3050,100000000,1467.6248851531807,74.30870378989694,1382.9371192227118,1521.9174159588292,24.46041475255301,0.4076735792092169,0.45413478561789183,72293.05667078182
E1_m0_100m_all_datasets,E1_m0_100m,dclm,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,0,3050,100000000,1999.6826778973336,36.5896027676431,1960.9015308119997,2033.592755693011,33.32804463162223,0.5554674105270371,0.6370975198790334,51444.4677594303
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dclm,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_global_rational,schedule_free_adamw,3,0,3050,100000000,1402.0938365123777,16.522957908486156,1392.5439421460032,1421.1729011530988,23.36823060853963,0.38947051014232714,0.4323832668641355,75795.2400735203
E1_m0_100m_all_datasets,E1_rational_only_100m,dolma_sample,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,3050,100000000,1423.0836068803521,66.50582289150456,1346.347446770058,1464.0393069079146,23.718060114672536,0.3953010019112089,0.4414884405393489,74349.18707485835
E1_m0_100m_all_datasets,E1_m0_100m,dolma_sample,silu_adamw,SiLU+AdamW,silu,adamw,3,0,3050,100000000,1524.9167221076787,236.99019318833544,1252.452145630028,1683.2089874789817,25.415278701794644,0.4235879783632441,0.48096129424650436,69457.86461491892
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dolma_sample,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,3,0,3050,100000000,1484.7260110336356,22.824072008432534,1458.8727346349042,1502.0848425539443,24.74543351722726,0.41242389195378765,0.45932396766125594,71351.68067820372
E1_m0_100m_all_datasets,E1_m0_100m,dolma_sample,silu_muon,SiLU+Muon,silu,muon,3,0,3050,100000000,1614.8487406633405,227.72998885644031,1352.2874132760335,1758.6637509700377,26.914145677722342,0.4485690946287057,0.5096450336128573,65281.71340753585
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dolma_sample,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,3,0,3050,100000000,1604.0208999353538,13.468355783010097,1589.5143465349684,1616.1287145980168,26.73368166558923,0.4455613610931538,0.4968537370085927,65958.589577064
E1_m0_100m_all_datasets,E1_m0_100m,dolma_sample,silu_lion,SiLU+Lion,silu,lion,3,0,3050,100000000,1493.2309771773678,227.68107119370464,1230.4709220260265,1632.1299968770472,24.88718295295613,0.4147863825492688,0.4713922028168238,70831.65147953067
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dolma_sample,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,3,0,3050,100000000,1465.2522717350319,9.580494714792321,1454.7462736649904,1473.505917766015,24.420871195583864,0.40701451992639776,0.45325454466686427,72297.01308677875
E1_m0_100m_all_datasets,E1_m0_100m,dolma_sample,silu_soap,SiLU+SOAP,silu,soap_adamw,3,0,3050,100000000,1737.1900143666815,236.77924721665983,1464.9033558500232,1894.7668129630038,28.953166906111356,0.4825527817685226,0.5484307066226235,60576.29001285407
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,dolma_sample,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,3,0,3050,100000000,1525.991188656694,16.774759787701026,1507.1229390900116,1539.2179951630533,25.433186477611567,0.4238864412935261,0.47264622081599755,69335.1246932013
