scope,method,method_label,activation,optimizer,runs,early_stop_runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E1_m0_100m_all_datasets,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,15,0,3050,100000000,1470.3728282643403,129.90198063968668,1344.8370720189996,1670.795249898918,24.50621380440567,0.40843689674009453,0.45633350217621876,72344.05792428447
E1_m0_100m_all_datasets,silu_adamw,SiLU+AdamW,silu,adamw,15,0,3050,100000000,1655.9919771156274,320.50448241039106,1090.211067337019,2024.7113658459857,27.599866285260457,0.4599977714210076,0.5247755026888892,65212.81421901615
E1_m0_100m_all_datasets,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,15,0,3050,100000000,1423.5159378832284,93.68495135600433,1264.9157736300258,1542.5919838320697,23.72526563138714,0.39542109385645235,0.43947668204198737,74907.40567684872
E1_m0_100m_all_datasets,silu_muon,SiLU+Muon,silu,muon,15,0,3050,100000000,1766.3110425378507,325.27931744577455,1207.5971767159645,2176.107068687008,29.438517375630845,0.49064195626051404,0.5603856490522241,60754.129701928214
E1_m0_100m_all_datasets,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,15,0,3050,100000000,1560.7452164631957,51.054010268748954,1475.28103659302,1616.1287145980168,26.012420274386596,0.43354033790644325,0.4828532812866083,67937.96333303087
E1_m0_100m_all_datasets,silu_lion,SiLU+Lion,silu,lion,15,0,3050,100000000,1673.1421011256268,373.38809475658,1083.9727395409718,2405.884770515957,27.885701685427115,0.46476169475711854,0.5304006409031431,65164.90058782208
E1_m0_100m_all_datasets,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,15,0,3050,100000000,1425.7109735796073,77.89639814496903,1267.545715895947,1509.5369936840143,23.76184955966012,0.39603082599433537,0.4403579962015668,74648.06873942267
E1_m0_100m_all_datasets,silu_soap,SiLU+SOAP,silu,soap_adamw,15,0,3050,100000000,1828.0632497022782,351.94396716454924,1284.7144211754203,2327.3531982139975,30.467720828371302,0.5077953471395217,0.5801814156145377,58784.57635249821
E1_m0_100m_all_datasets,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,15,0,3050,100000000,1496.1044325668054,46.82311347846888,1414.2138853399083,1541.6205626189476,24.935073876113425,0.41558456460189036,0.46271728273802787,70893.158132701
E1_m0_100m_all_datasets,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,15,0,3050,100000000,1616.9207533097554,349.61803085066515,1079.512025582604,2105.352503066999,26.948679221829256,0.4491446536971543,0.5118745683853708,67431.2508191581
E1_m0_100m_all_datasets,rlb_ademamix,RLB+ADeMaMix,rlb_fused_global_rational,ademamix,15,15,3050,100000000,296.19816820834916,148.0938190119981,192.53942825901322,799.6438867129618,4.936636136805819,0.08227726894676365,0.45483406801132137,72235.46942158607
E1_m0_100m_all_datasets,silu_came,SiLU+CAME,silu,adafactor_came,15,0,3050,100000000,1696.634345832603,350.4402302751419,1159.9542364375666,2175.505928687984,28.27723909721005,0.4712873182868342,0.5381561257124229,63804.143050703286
E1_m0_100m_all_datasets,rlb_came,RLB+CAME,rlb_fused_global_rational,adafactor_came,15,0,3050,100000000,1550.9974422397945,79.77781575996464,1382.9371192227118,1635.6323388159508,25.84995737066324,0.43083262284438734,0.48046594217970157,68386.17430150056
E1_m0_100m_all_datasets,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,15,0,3050,100000000,1601.2360260782764,346.57409310659403,1068.5379717499018,2033.592755693011,26.687267101304606,0.44478778502174343,0.5071942078326849,68064.16975027227
E1_m0_100m_all_datasets,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_global_rational,schedule_free_adamw,15,0,3050,100000000,1454.4001111144046,75.41548258064341,1282.8179303142242,1528.112631906988,24.240001851906744,0.4040000308651124,0.4494799082134542,73108.81966399436
E2_m0_300m_c4_en,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,9150,300000000,3853.430792124282,173.99004008105973,3749.3230763529427,4054.2923167649424,64.2238465354047,1.070397442256745,0.3976386498261996,82517.01487823208
E2_m0_300m_c4_en,silu_adamw,SiLU+AdamW,silu,adamw,3,0,9150,300000000,4386.256543087664,784.750274867532,3480.4734909789986,4861.526424514996,73.10427571812774,1.218404595302129,0.4622590455537354,72773.12465399463
E2_m0_300m_c4_en,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,3,0,9150,300000000,4106.3592081319075,332.2300722804958,3722.7784249735996,4303.264091010089,68.43932013553179,1.1406553355921965,0.4237411182458968,77714.42479065672
E2_m0_300m_c4_en,silu_muon,SiLU+Muon,silu,muon,3,0,9150,300000000,4687.350267785019,964.5760965236802,3574.860908515053,5290.313413985001,78.12250446308366,1.3020417410513943,0.49369757669997577,68698.40272001614
E2_m0_300m_c4_en,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,3,0,9150,300000000,4471.025909913859,397.83341131727616,4011.851404847577,4712.466583185014,74.51709849856432,1.2419516416427387,0.4630618094949261,71183.67869616764
E2_m0_300m_c4_en,silu_lion,SiLU+Lion,silu,lion,3,0,9150,300000000,4322.999720857338,955.2416369514973,3220.248333076015,4895.378212789001,72.0499953476223,1.200833255793705,0.4555014071523792,74962.82334812351
E2_m0_300m_c4_en,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,3,0,9150,300000000,4077.0374960441454,324.9553574230577,3701.8238861924037,4267.2984589280095,67.9506249340691,1.1325104155678183,0.42063159762202934,78275.2528190069
E2_m0_300m_c4_en,silu_soap,SiLU+SOAP,silu,soap_adamw,3,0,9150,300000000,5231.958209018663,735.5866216352827,4382.820808291,5674.18856114299,87.19930348364439,1.4533217247274064,0.5516916674121932,60275.96860634351
E2_m0_300m_c4_en,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,3,0,9150,300000000,4682.326253322884,1034.6539347615776,3819.937725044787,5829.567502259975,78.03877088871474,1.300646181478579,0.48644618795937616,69648.35523104735
E2_m0_300m_c4_en,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,0,9150,300000000,5442.887823239997,686.0675009814153,4655.217593896,5910.00542734,90.71479705399994,1.5119132842333325,0.4792343325345081,69794.39236059839
E2_m0_300m_c4_en,rlb_ademamix,RLB+ADeMaMix,rlb_fused_global_rational,ademamix,3,3,9150,300000000,287.4099592231214,55.43309712665509,233.10865819000173,343.9094561673701,4.790165987052023,0.07983609978420039,0.4338932137379711,75864.38028004717
E2_m0_300m_c4_en,silu_came,SiLU+CAME,silu,adafactor_came,3,0,9150,300000000,4843.904245640333,728.7397399530723,4002.6753514249995,5282.184174338001,80.73173742733889,1.3455289571223148,0.5119413390108599,65146.41697589694
E2_m0_300m_c4_en,rlb_came,RLB+CAME,rlb_fused_global_rational,adafactor_came,3,0,9150,300000000,4818.371363888883,890.2805135156547,4037.078903491609,5787.624508357025,80.30618939814805,1.3384364899691341,0.5010623506276417,66953.9940602295
E2_m0_300m_c4_en,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,0,9150,300000000,4575.682110507668,743.0500907593621,3718.737810943001,5041.0092187109985,76.26136850846113,1.2710228084743522,0.4827358374316023,69317.15641431887
E2_m0_300m_c4_en,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_global_rational,schedule_free_adamw,3,0,9150,300000000,3962.062082419017,324.61996836970405,3769.6912936950102,4336.8569410829805,66.03436804031695,1.100572800671949,0.4083408137392047,80613.75813030082
E2_m0_300m_dclm,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,9150,300000000,4062.746695305337,315.3525434689023,3762.593514617998,4391.368175704032,67.71244492175562,1.128540748695927,0.42069837678327304,78223.86136030115
E2_m0_300m_dclm,silu_adamw,SiLU+AdamW,silu,adamw,3,0,9150,300000000,4256.248164547996,602.8328731547176,3668.4585765129887,4873.074875700055,70.93746940913326,1.1822911568188876,0.4477615261535658,74246.11295976948
E2_m0_300m_dclm,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,3,0,9150,300000000,4304.777301566636,427.55082058412626,3811.1069691739976,4555.724203243968,71.74628835944394,1.195771472657399,0.44342803239627365,74441.13974856495
E2_m0_300m_dclm,silu_muon,SiLU+Muon,silu,muon,3,0,9150,300000000,4283.82187449967,888.5555295728892,3561.365866075037,5275.980870226049,71.39703124166117,1.1899505206943528,0.4497099097874954,74940.22953145175
E2_m0_300m_dclm,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,3,0,9150,300000000,4351.011355791164,438.2845235618715,4094.3369248248637,4857.08128227503,72.51685592985272,1.2086142654975454,0.4492749482423774,73427.88141285712
E2_m0_300m_dclm,silu_lion,SiLU+Lion,silu,lion,3,0,9150,300000000,4057.5895258267024,720.8884706446973,3629.186218381976,4889.879475617083,67.62649209711171,1.1271082016185285,0.426497071792017,78441.95713029015
E2_m0_300m_dclm,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,3,0,9150,300000000,4308.315052023933,456.86007411008455,3780.8669794928282,4580.407206553966,71.80525086706555,1.1967541811177593,0.44370275570445206,74469.64945294819
E2_m0_300m_dclm,silu_soap,SiLU+SOAP,silu,soap_adamw,3,0,9150,300000000,5216.448100514671,737.1417802083987,4365.86508473102,5669.296895538922,86.94080167524451,1.4490133612540752,0.5486730152337705,60587.68170330508
E2_m0_300m_dclm,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,3,0,9150,300000000,4274.113155337011,395.06581920999275,3913.089155870024,4696.127236561966,71.23521925561685,1.187253654260281,0.4401854498478003,74873.25637114812
E2_m0_300m_dclm,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,0,9150,300000000,5119.453725485946,1084.2826018925352,3867.6800689419033,5766.922846351983,85.3242287580991,1.4220704793016516,0.48228944726421136,69300.39637159674
E2_m0_300m_dclm,rlb_ademamix,RLB+ADeMaMix,rlb_fused_global_rational,ademamix,3,3,9150,300000000,325.85315068737447,114.02903858567802,235.1760729481466,453.8710238569183,5.430885844789574,0.09051476407982624,0.46450369390944,71263.79488536828
E2_m0_300m_dclm,silu_came,SiLU+CAME,silu,adafactor_came,3,0,9150,300000000,4811.813177780675,701.1869332408738,4002.432503027958,5234.950949948048,80.19688629634457,1.336614771605743,0.5084900036664839,65528.992763513066
E2_m0_300m_dclm,rlb_came,RLB+CAME,rlb_fused_global_rational,adafactor_came,3,0,9150,300000000,4525.0132719673375,421.4713001729862,4132.954926318955,4970.7537722780835,75.4168878661223,1.2569481311020383,0.465963954965919,70690.73737152961
E2_m0_300m_dclm,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,0,9150,300000000,4131.28010502737,715.5497636196744,3694.9076742610196,4957.081157677108,68.85466841712284,1.1475778069520473,0.43427540669891546,76941.00761248884
E2_m0_300m_dclm,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_global_rational,schedule_free_adamw,3,0,9150,300000000,4350.359127419612,440.51560107017764,3846.0685656298883,4660.1435161629925,72.50598545699354,1.2084330909498924,0.44859940513164953,73597.35675645966
E2_m0_300m_dolma_sample,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,9150,300000000,4425.982604525944,893.9240786491633,3748.2876805479173,5439.105567255989,73.76637674209907,1.2294396123683178,0.460011249647767,73238.37634839163
E2_m0_300m_dolma_sample,silu_adamw,SiLU+AdamW,silu,adamw,3,0,9150,300000000,3811.153168620658,366.7772498872206,3505.221027480904,4217.752231520135,63.51921947701097,1.0586536579501828,0.3990540249694118,82647.80189060308
